scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.9555,9.2195,8.8445,8.895,2020-01-24 00:09:18,8.89,8.8465,9.133,10.272
9.96,9.2195,8.844,8.8985,2020-01-24 00:24:22,8.8925,8.849,9.134,10.269
9.962,9.22,8.8435,8.9,2020-01-24 00:39:26,8.8935,8.85,9.134,10.268
9.963,9.22,8.8435,8.9005,2020-01-24 00:54:30,8.894,8.851,9.134,10.268
9.964,9.22,8.8435,8.901,2020-01-24 01:09:33,8.8945,8.852,9.1345,10.268
9.9645,9.22,8.8435,8.902,2020-01-24 01:24:37,8.8955,8.8525,9.1345,10.268
9.9655,9.22,8.8435,8.9025,2020-01-24 01:39:41,8.896,8.853,9.135,10.268
9.9655,9.22,8.8435,8.9035,2020-01-24 01:54:45,8.897,8.8535,9.135,10.271
9.9655,9.22,8.8435,8.9035,2020-01-24 02:09:49,8.897,8.854,9.135,10.272
9.9655,9.22,8.844,8.903,2020-01-24 02:24:53,8.8965,8.8535,9.135,10.272
9.9655,9.2205,8.844,8.903,2020-01-24 02:39:57,8.8965,8.8535,9.135,10.272
9.965,9.2205,8.8445,8.9025,2020-01-24 02:55:01,8.8965,8.854,9.135,10.273
9.9655,9.2205,8.8445,8.903,2020-01-24 03:10:05,8.897,8.854,9.135,10.273
9.9655,9.2205,8.8445,8.903,2020-01-24 03:25:08,8.897,8.854,9.135,10.273
9.965,9.2205,8.845,8.903,2020-01-24 03:40:12,8.897,8.854,9.135,10.273
9.9655,9.2205,8.845,8.903,2020-01-24 03:55:16,8.897,8.8545,9.135,10.274
9.9655,9.2205,8.845,8.903,2020-01-24 04:10:20,8.897,8.8545,9.135,10.274
9.9655,9.2205,8.845,8.903,2020-01-24 04:25:24,8.8975,8.8545,9.135,10.275
9.9655,9.2205,8.845,8.903,2020-01-24 04:40:28,8.897,8.8545,9.135,10.274
9.9655,9.2205,8.845,8.903,2020-01-24 04:55:32,8.897,8.8545,9.135,10.274
9.9655,9.2205,8.8455,8.903,2020-01-24 05:10:36,8.8975,8.8545,9.135,10.274
