scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.9655,9.221,8.8455,8.903,2020-01-24 05:25:40,8.8975,8.8545,9.135,10.275
9.965,9.221,8.8455,8.9025,2020-01-24 05:40:44,8.897,8.8545,9.135,10.275
9.9635,9.221,8.846,8.901,2020-01-24 05:55:47,8.895,8.854,9.134,10.276
9.9625,9.2215,8.8465,8.8985,2020-01-24 06:10:51,8.893,8.8535,9.1335,10.277
9.9595,9.2215,8.847,8.8955,2020-01-24 06:25:55,8.8905,8.8525,9.132,10.278
9.9575,9.2215,8.8475,8.8935,2020-01-24 06:40:59,8.8885,8.8515,9.1315,10.279
9.956,9.2215,8.8475,8.892,2020-01-24 06:56:03,8.8875,8.8505,9.131,10.28
9.9555,9.2215,8.848,8.8915,2020-01-24 07:11:07,8.887,8.8505,9.131,10.281
9.9545,9.2215,8.848,8.891,2020-01-24 07:26:11,8.8865,8.85,9.1305,10.281
9.954,9.2215,8.848,8.891,2020-01-24 07:41:15,8.886,8.85,9.1305,10.281
9.9535,9.2215,8.848,8.891,2020-01-24 07:56:18,8.886,8.85,9.1305,10.282
9.9535,9.2215,8.848,8.8915,2020-01-24 08:11:22,8.886,8.85,9.1305,10.282
9.954,9.2215,8.848,8.891,2020-01-24 08:26:26,8.886,8.85,9.1305,10.282
9.9535,9.2215,8.848,8.891,2020-01-24 08:41:30,8.886,8.8495,9.1305,10.281
9.953,9.2215,8.848,8.8905,2020-01-24 08:56:34,8.8855,8.8495,9.1305,10.282
9.9535,9.2215,8.848,8.891,2020-01-24 09:11:38,8.886,8.8495,9.1305,10.282
9.953,9.2215,8.848,8.891,2020-01-24 09:26:42,8.886,8.8495,9.1305,10.282
9.9515,9.2215,8.848,8.89,2020-01-24 09:41:46,8.8845,8.8495,9.13,10.283
9.949,9.222,8.8485,8.8885,2020-01-24 09:56:50,8.8825,8.849,9.129,10.284
9.9465,9.2225,8.849,8.8855,2020-01-24 10:11:54,8.8805,8.848,9.128,10.286
9.9455,9.2225,8.85,8.8835,2020-01-24 10:26:57,8.8785,8.8475,9.128,10.287
9.943,9.2225,8.85,8.8805,2020-01-24 10:42:01,8.877,8.8465,9.127,10.288
9.9415,9.2225,8.85,8.8795,2020-01-24 10:57:05,8.8755,8.8455,9.1265,10.289
9.941,9.2225,8.8505,8.88,2020-01-24 11:12:09,8.875,8.8455,9.126,10.29
9.9395,9.2225,8.8505,8.8795,2020-01-24 11:27:13,8.8745,8.845,9.126,10.29
9.9385,9.2225,8.8505,8.879,2020-01-24 11:42:17,8.873,8.845,9.1255,10.29
9.937,9.2225,8.8505,8.878,2020-01-24 11:57:21,8.872,8.8445,9.125,10.291
9.939,9.2225,8.8505,8.879,2020-01-24 12:12:25,8.8735,8.8445,9.126,10.29
9.939,9.2225,8.8505,8.879,2020-01-24 12:27:29,8.8745,8.8445,9.126,10.289
9.94,9.2225,8.8505,8.879,2020-01-24 12:42:32,8.8745,8.8445,9.1265,10.289
9.9395,9.2225,8.8505,8.879,2020-01-24 12:57:36,8.8745,8.8445,9.126,10.289
9.9385,9.2225,8.8505,8.879,2020-01-24 13:12:40,8.8735,8.844,9.126,10.29
9.938,9.2225,8.8505,8.8785,2020-01-24 13:27:44,8.873,8.8445,9.1255,10.29
9.937,9.223,8.8505,8.8775,2020-01-24 13:42:48,8.872,8.844,9.125,10.291
9.935,9.223,8.851,8.8765,2020-01-24 13:57:52,8.8705,8.844,9.1245,10.292
9.9335,9.223,8.8515,8.875,2020-01-24 14:12:56,8.8685,8.8435,9.124,10.294
9.9315,9.2235,8.852,8.871,2020-01-24 14:28:00,8.8665,8.8425,9.123,10.295
9.9285,9.2235,8.8525,8.868,2020-01-24 14:43:04,8.864,8.841,9.1215,10.296
9.927,9.2235,8.8525,8.868,2020-01-24 14:58:08,8.864,8.8405,9.122,10.297
9.925,9.2235,8.8525,8.8675,2020-01-24 15:13:11,8.8625,8.8405,9.1215,10.297
9.924,9.2235,8.8525,8.8665,2020-01-24 15:28:15,8.8605,8.84,9.1205,10.292
9.923,9.2235,8.8525,8.8665,2020-01-24 15:43:19,8.8595,8.8395,9.1205,10.293
9.9225,9.2235,8.853,8.866,2020-01-24 15:58:23,8.859,8.8395,9.12,10.294
9.922,9.2235,8.8525,8.866,2020-01-24 16:13:27,8.8585,8.839,9.12,10.293
9.9215,9.2235,8.8525,8.866,2020-01-24 16:28:31,8.858,8.8395,9.12,10.293
9.9215,9.224,8.8525,8.866,2020-01-24 16:43:35,8.8575,8.8395,9.12,10.294
9.921,9.2235,8.853,8.866,2020-01-24 16:58:39,8.8575,8.839,9.12,10.294
9.9205,9.224,8.8525,8.8655,2020-01-24 17:13:43,8.857,8.839,9.12,10.293
9.92,9.224,8.8525,8.8655,2020-01-24 17:28:46,8.857,8.8385,9.12,10.293
9.9195,9.224,8.853,8.865,2020-01-24 17:43:50,8.856,8.8385,9.12,10.294
9.918,9.224,8.853,8.8635,2020-01-24 17:58:54,8.8545,8.838,9.1195,10.294
9.9165,9.224,8.853,8.862,2020-01-24 18:13:58,8.853,8.838,9.119,10.295
9.9145,9.2245,8.8535,8.86,2020-01-24 18:29:02,8.851,8.837,9.1185,10.296
9.9135,9.2245,8.8535,8.8575,2020-01-24 18:44:06,8.849,8.836,9.118,10.29
9.912,9.2245,8.8535,8.856,2020-01-24 18:59:10,8.848,8.8355,9.1175,10.291
9.911,9.2245,8.854,8.8555,2020-01-24 19:14:14,8.847,8.835,9.117,10.291
9.9095,9.2245,8.854,8.8545,2020-01-24 19:29:18,8.8465,8.8345,9.117,10.292
9.909,9.2245,8.854,8.8535,2020-01-24 19:44:21,8.8455,8.8345,9.1165,10.293
9.9085,9.2245,8.854,8.853,2020-01-24 19:59:25,8.845,8.834,9.1165,10.293
9.908,9.225,8.854,8.853,2020-01-24 20:14:29,8.845,8.834,9.1165,10.294
9.908,9.225,8.854,8.8525,2020-01-24 20:29:33,8.845,8.834,9.1165,10.288
9.908,9.225,8.854,8.853,2020-01-24 20:44:37,8.845,8.8335,9.117,10.287
9.908,9.225,8.854,8.853,2020-01-24 20:59:41,8.845,8.8335,9.117,10.287
9.908,9.225,8.854,8.853,2020-01-24 21:14:45,8.845,8.833,9.117,10.287
9.908,9.225,8.854,8.8535,2020-01-24 21:29:49,8.845,8.8335,9.117,10.286
9.908,9.225,8.854,8.853,2020-01-24 21:44:53,8.845,8.8335,9.117,10.287
9.9075,9.225,8.854,8.8525,2020-01-24 21:59:56,8.8445,8.8335,9.117,10.287
9.9055,9.2255,8.8545,8.8505,2020-01-24 22:15:00,8.8425,8.833,9.116,10.289
9.9035,9.2255,8.8545,8.847,2020-01-24 22:30:04,8.8405,8.8325,9.115,10.291
9.901,9.2255,8.855,8.8445,2020-01-24 22:45:08,8.8385,8.831,9.1145,10.291
9.8995,9.226,8.855,8.844,2020-01-24 23:00:12,8.8375,8.831,9.114,10.291
9.8995,9.226,8.8555,8.8435,2020-01-24 23:15:16,8.8365,8.8305,9.114,10.286
9.899,9.226,8.855,8.843,2020-01-24 23:30:20,8.8365,8.8295,9.114,10.287
9.8985,9.226,8.8555,8.8425,2020-01-24 23:45:24,8.8365,8.83,9.114,10.287
