scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
8.8955,8.917,8.977,8.956,8.8905,9.2785,9.4335,8.5715,2020-02-03 00:06:09
8.8945,8.915,8.976,8.9545,8.89,9.2735,9.431,8.57,2020-02-03 00:21:13
8.893,8.9135,8.975,8.953,8.8895,9.267,9.429,8.5685,2020-02-03 00:36:17
8.8915,8.9125,8.974,8.95,8.8885,9.258,9.426,8.5665,2020-02-03 00:51:20
8.8905,8.91,8.973,8.948,8.888,9.25,9.423,8.565,2020-02-03 01:06:24
8.8895,8.908,8.973,8.9465,8.887,9.2445,9.4205,8.5645,2020-02-03 01:21:28
8.889,8.9065,8.9725,8.9455,8.886,9.241,9.4195,8.564,2020-02-03 01:36:32
8.889,8.906,8.9725,8.945,8.886,9.239,9.419,8.564,2020-02-03 01:51:36
8.889,8.9055,8.9735,8.945,8.8855,9.2385,9.419,8.564,2020-02-03 02:06:40
8.889,8.906,8.9735,8.945,8.8855,9.2385,9.419,8.564,2020-02-03 02:21:44
8.8895,8.906,8.973,8.9445,8.8855,9.238,9.419,8.564,2020-02-03 02:36:48
8.8895,8.906,8.973,8.9445,8.8855,9.2385,9.419,8.564,2020-02-03 02:51:52
8.8895,8.9055,8.973,8.944,8.885,9.238,9.419,8.564,2020-02-03 03:06:55
8.8895,8.906,8.9725,8.944,8.885,9.2375,9.4185,8.564,2020-02-03 03:21:59
8.889,8.905,8.9725,8.9435,8.885,9.237,9.4185,8.564,2020-02-03 03:37:03
8.8895,8.905,8.973,8.944,8.885,9.237,9.4185,8.564,2020-02-03 03:52:07
8.889,8.9045,8.9725,8.9435,8.885,9.236,9.418,8.564,2020-02-03 04:07:11
8.8885,8.9035,8.972,8.9425,8.8845,9.2315,9.416,8.5625,2020-02-03 04:22:15
8.887,8.9025,8.971,8.9405,8.884,9.2255,9.4125,8.5615,2020-02-03 04:37:19
8.8855,8.9005,8.97,8.938,8.883,9.217,9.409,8.5595,2020-02-03 04:52:23
8.8845,8.8985,8.969,8.936,8.882,9.2095,9.406,8.558,2020-02-03 05:07:26
8.8835,8.8965,8.9685,8.9345,8.881,9.204,9.4045,8.557,2020-02-03 05:22:30
8.8835,8.8955,8.9685,8.9335,8.8805,9.201,9.404,8.5565,2020-02-03 05:37:34
8.8835,8.895,8.9685,8.933,8.88,9.1995,9.404,8.557,2020-02-03 05:52:38
8.883,8.894,8.969,8.933,8.88,9.1985,9.404,8.557,2020-02-03 06:07:42
8.883,8.894,8.969,8.933,8.88,9.1985,9.4045,8.557,2020-02-03 06:22:46
8.883,8.8935,8.9685,8.933,8.88,9.1985,9.405,8.5575,2020-02-03 06:37:50
8.883,8.8925,8.9685,8.9325,8.88,9.1985,9.406,8.5575,2020-02-03 06:52:54
8.883,8.893,8.969,8.933,8.8805,9.1985,9.406,8.5575,2020-02-03 07:07:58
8.883,8.893,8.9685,8.9325,8.88,9.198,9.405,8.557,2020-02-03 07:23:01
8.883,8.893,8.9685,8.9325,8.88,9.1975,9.4045,8.557,2020-02-03 07:38:05
8.883,8.8925,8.9685,8.9325,8.88,9.1965,9.4045,8.5565,2020-02-03 07:53:09
8.883,8.893,8.968,8.9325,8.88,9.1955,9.404,8.5565,2020-02-03 08:08:13
8.882,8.892,8.9675,8.931,8.8795,9.191,9.402,8.5555,2020-02-03 08:23:17
8.8805,8.89,8.9665,8.929,8.8785,9.184,9.3985,8.5535,2020-02-03 08:38:21
8.8795,8.8885,8.9655,8.9265,8.8775,9.176,9.3955,8.5515,2020-02-03 08:53:25
