scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
9.966,11.787,12.061,10.058,11.594,11.864,13.145,11.18,2020-02-29 00:12:22
9.966,11.784,12.06,10.058,11.594,11.863,13.144,11.178,2020-02-29 00:27:26
9.9655,11.78,12.058,10.057,11.593,11.862,13.142,11.177,2020-02-29 00:42:30
9.965,11.776,12.057,10.056,11.593,11.861,13.141,11.177,2020-02-29 00:57:34
9.964,11.773,12.055,10.056,11.592,11.86,13.14,11.176,2020-02-29 01:12:38
9.9635,11.768,12.053,10.055,11.591,11.858,13.139,11.175,2020-02-29 01:27:42
9.963,11.764,12.051,10.054,11.591,11.857,13.139,11.173,2020-02-29 01:42:45
9.962,11.761,12.049,10.053,11.59,11.855,13.138,11.172,2020-02-29 01:57:49
9.962,11.757,12.047,10.053,11.59,11.854,13.137,11.172,2020-02-29 02:12:53
9.962,11.753,12.045,10.052,11.589,11.854,13.136,11.171,2020-02-29 02:27:57
9.9615,11.75,12.044,10.052,11.589,11.854,13.135,11.17,2020-02-29 02:43:01
9.9615,11.746,12.042,10.052,11.589,11.854,13.134,11.169,2020-02-29 02:58:05
9.961,11.742,12.04,10.051,11.588,11.853,13.134,11.168,2020-02-29 03:13:09
9.962,11.744,12.041,10.052,11.589,11.86,13.139,11.169,2020-02-29 03:28:13
9.966,11.748,12.043,10.058,11.592,11.88,13.149,11.174,2020-02-29 03:43:17
9.968,11.751,12.044,10.062,11.594,11.897,13.154,11.177,2020-02-29 03:58:20
9.969,11.753,12.043,10.064,11.595,11.904,13.155,11.177,2020-02-29 04:13:24
9.969,11.752,12.043,10.065,11.596,11.907,13.155,11.177,2020-02-29 04:28:28
9.9685,11.753,12.042,10.066,11.596,11.91,13.156,11.176,2020-02-29 04:43:32
9.9685,11.752,12.042,10.067,11.597,11.912,13.156,11.177,2020-02-29 04:58:36
9.968,11.752,12.041,10.067,11.597,11.913,13.156,11.176,2020-02-29 05:13:40
9.9675,11.752,12.041,10.067,11.597,11.914,13.156,11.175,2020-02-29 05:28:44
9.967,11.752,12.041,10.068,11.597,11.915,13.155,11.175,2020-02-29 05:43:48
9.9665,11.752,12.04,10.068,11.596,11.916,13.155,11.175,2020-02-29 05:58:52
9.967,11.751,12.04,10.068,11.596,11.917,13.155,11.175,2020-02-29 06:13:56
9.9665,11.75,12.04,10.068,11.596,11.917,13.154,11.174,2020-02-29 06:28:59
9.9665,11.75,12.039,10.068,11.596,11.918,13.154,11.174,2020-02-29 06:44:03
9.9665,11.749,12.038,10.067,11.596,11.918,13.154,11.173,2020-02-29 06:59:07
9.966,11.748,12.038,10.067,11.596,11.918,13.153,11.173,2020-02-29 07:14:11
9.966,11.747,12.038,10.067,11.595,11.918,13.153,11.172,2020-02-29 07:29:15
9.9655,11.747,12.037,10.067,11.595,11.918,13.153,11.172,2020-02-29 07:44:19
9.965,11.746,12.037,10.066,11.595,11.918,13.153,11.171,2020-02-29 07:59:23
9.965,11.746,12.036,10.066,11.595,11.919,13.153,11.171,2020-02-29 08:14:27
9.9645,11.745,12.036,10.066,11.595,11.919,13.152,11.17,2020-02-29 08:29:30
9.9645,11.745,12.035,10.066,11.595,11.919,13.152,11.17,2020-02-29 08:44:34
9.964,11.745,12.035,10.066,11.594,11.918,13.152,11.169,2020-02-29 08:59:38
9.964,11.744,12.034,10.066,11.594,11.918,13.151,11.169,2020-02-29 09:14:42
9.964,11.744,12.034,10.066,11.594,11.918,13.151,11.168,2020-02-29 09:29:46
9.964,11.742,12.033,10.065,11.593,11.917,13.15,11.167,2020-02-29 09:44:50
9.9635,11.741,12.033,10.065,11.593,11.917,13.15,11.167,2020-02-29 09:59:54
9.9635,11.74,12.032,10.065,11.593,11.917,13.15,11.166,2020-02-29 10:14:57
9.963,11.739,12.032,10.065,11.592,11.917,13.15,11.166,2020-02-29 10:30:01
9.963,11.739,12.031,10.065,11.592,11.917,13.149,11.165,2020-02-29 10:45:05
9.9625,11.739,12.031,10.065,11.592,11.917,13.149,11.165,2020-02-29 11:00:09
9.9625,11.738,12.03,10.065,11.592,11.917,13.149,11.164,2020-02-29 11:15:13
9.963,11.737,12.03,10.064,11.591,11.916,13.147,11.164,2020-02-29 11:30:17
9.962,11.732,12.027,10.062,11.59,11.911,13.144,11.162,2020-02-29 11:45:21
9.9605,11.727,12.024,10.06,11.589,11.903,13.139,11.159,2020-02-29 12:00:25
9.9585,11.722,12.021,10.057,11.587,11.894,13.134,11.156,2020-02-29 12:15:29
9.957,11.714,12.019,10.054,11.585,11.885,13.13,11.154,2020-02-29 12:30:32
9.955,11.709,12.016,10.051,11.583,11.877,13.126,11.152,2020-02-29 12:45:36
9.9535,11.703,12.014,10.049,11.582,11.871,13.124,11.15,2020-02-29 13:00:40
9.953,11.697,12.012,10.048,11.581,11.866,13.121,11.148,2020-02-29 13:15:44
9.952,11.692,12.009,10.046,11.58,11.861,13.119,11.147,2020-02-29 13:30:48
9.951,11.687,12.007,10.045,11.578,11.858,13.118,11.146,2020-02-29 13:45:52
9.9505,11.682,12.005,10.044,11.578,11.855,13.116,11.144,2020-02-29 14:00:56
9.9495,11.677,12.003,10.042,11.577,11.852,13.114,11.143,2020-02-29 14:16:00
9.949,11.673,12.001,10.041,11.576,11.85,13.113,11.142,2020-02-29 14:31:03
9.9485,11.668,11.999,10.04,11.576,11.848,13.112,11.142,2020-02-29 14:46:07
9.9485,11.665,11.997,10.04,11.575,11.848,13.112,11.14,2020-02-29 15:01:11
9.948,11.66,11.995,10.041,11.575,11.848,13.112,11.14,2020-02-29 15:16:15
9.947,11.656,11.993,10.04,11.574,11.847,13.111,11.139,2020-02-29 15:31:19
9.947,11.652,11.991,10.039,11.574,11.846,13.113,11.138,2020-02-29 15:46:23
9.9465,11.647,11.989,10.039,11.574,11.846,13.112,11.138,2020-02-29 16:01:27
9.946,11.643,11.987,10.038,11.574,11.845,13.11,11.136,2020-02-29 16:16:31
9.9455,11.639,11.985,10.037,11.573,11.844,13.109,11.136,2020-02-29 16:31:35
9.9455,11.634,11.983,10.037,11.573,11.844,13.108,11.135,2020-02-29 16:46:38
9.9445,11.63,11.98,10.036,11.572,11.843,13.107,11.134,2020-02-29 17:01:42
9.9445,11.626,11.978,10.036,11.572,11.842,13.106,11.133,2020-02-29 17:16:46
9.944,11.621,11.976,10.035,11.571,11.842,13.105,11.132,2020-02-29 17:31:50
9.9435,11.616,11.974,10.035,11.571,11.841,13.104,11.131,2020-02-29 17:46:54
9.943,11.612,11.972,10.034,11.57,11.84,13.103,11.13,2020-02-29 18:01:58
9.943,11.607,11.97,10.034,11.57,11.841,13.103,11.13,2020-02-29 18:17:02
9.9425,11.603,11.968,10.033,11.57,11.84,13.103,11.129,2020-02-29 18:32:06
9.942,11.598,11.965,10.033,11.569,11.839,13.103,11.128,2020-02-29 18:47:10
9.942,11.594,11.964,10.032,11.569,11.839,13.102,11.127,2020-02-29 19:02:13
9.941,11.589,11.961,10.032,11.569,11.838,13.101,11.126,2020-02-29 19:17:17
9.9415,11.585,11.959,10.031,11.568,11.837,13.099,11.125,2020-02-29 19:32:21
9.941,11.58,11.956,10.03,11.568,11.835,13.098,11.124,2020-02-29 19:47:25
9.9405,11.576,11.954,10.029,11.567,11.833,13.097,11.123,2020-02-29 20:02:29
9.9395,11.571,11.952,10.029,11.567,11.831,13.097,11.122,2020-02-29 20:17:33
9.939,11.567,11.95,10.028,11.566,11.83,13.096,11.121,2020-02-29 20:32:37
9.9385,11.561,11.947,10.028,11.565,11.829,13.095,11.12,2020-02-29 20:47:41
9.938,11.557,11.945,10.026,11.565,11.827,13.094,11.118,2020-02-29 21:02:44
9.9375,11.552,11.943,10.026,11.564,11.827,13.093,11.118,2020-02-29 21:17:48
9.9365,11.548,11.941,10.026,11.564,11.826,13.091,11.117,2020-02-29 21:32:52
9.9365,11.543,11.939,10.025,11.563,11.826,13.091,11.116,2020-02-29 21:47:56
9.936,11.539,11.937,10.024,11.563,11.826,13.09,11.116,2020-02-29 22:03:00
9.9355,11.535,11.934,10.024,11.563,11.825,13.089,11.114,2020-02-29 22:18:04
9.9355,11.53,11.932,10.024,11.562,11.825,13.089,11.114,2020-02-29 22:33:08
9.9355,11.526,11.93,10.023,11.562,11.824,13.088,11.113,2020-02-29 22:48:12
9.9345,11.521,11.928,10.023,11.561,11.824,13.087,11.112,2020-02-29 23:03:16
9.934,11.517,11.926,10.022,11.561,11.823,13.087,11.111,2020-02-29 23:18:19
9.934,11.512,11.923,10.021,11.56,11.822,13.086,11.11,2020-02-29 23:33:23
9.9335,11.508,11.921,10.021,11.56,11.821,13.085,11.109,2020-02-29 23:48:27
