scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
8.878,8.892,8.9635,8.9285,8.8615,9.186,9.385,8.5425,2020-02-01 00:08:46
8.8775,8.8895,8.963,8.927,8.8605,9.1805,9.384,8.542,2020-02-01 00:23:50
8.877,8.888,8.9635,8.9265,8.86,9.178,9.383,8.542,2020-02-01 00:38:54
8.877,8.889,8.9635,8.9265,8.86,9.1765,9.3835,8.542,2020-02-01 00:53:58
8.8765,8.8875,8.9635,8.9265,8.86,9.1745,9.384,8.542,2020-02-01 01:09:02
8.877,8.887,8.9635,8.9265,8.86,9.1735,9.3835,8.542,2020-02-01 01:24:06
8.877,8.8875,8.9635,8.9265,8.8595,9.173,9.383,8.542,2020-02-01 01:39:09
8.8765,8.888,8.9635,8.9265,8.8595,9.1735,9.383,8.542,2020-02-01 01:54:13
8.877,8.8875,8.9635,8.9265,8.8595,9.1735,9.383,8.5425,2020-02-01 02:09:17
8.877,8.8875,8.9635,8.9265,8.86,9.174,9.3835,8.543,2020-02-01 02:24:21
8.877,8.8875,8.9635,8.9265,8.86,9.1745,9.384,8.543,2020-02-01 02:39:25
8.877,8.887,8.9635,8.926,8.86,9.1745,9.384,8.543,2020-02-01 02:54:29
8.877,8.886,8.963,8.9255,8.86,9.173,9.3835,8.5425,2020-02-01 03:09:33
8.8755,8.8845,8.9625,8.924,8.8595,9.168,9.381,8.5415,2020-02-01 03:24:37
8.8745,8.883,8.961,8.922,8.859,9.161,9.3775,8.5395,2020-02-01 03:39:40
8.873,8.881,8.96,8.919,8.858,9.153,9.3745,8.538,2020-02-01 03:54:44
8.872,8.8785,8.959,8.916,8.857,9.145,9.371,8.5365,2020-02-01 04:09:48
8.871,8.8775,8.9585,8.915,8.8565,9.14,9.3695,8.5365,2020-02-01 04:24:52
8.8705,8.876,8.959,8.9145,8.856,9.139,9.37,8.5365,2020-02-01 04:39:56
8.8705,8.876,8.959,8.914,8.856,9.138,9.37,8.5365,2020-02-01 04:55:00
8.87,8.875,8.959,8.914,8.856,9.137,9.37,8.5365,2020-02-01 05:10:04
8.87,8.874,8.959,8.914,8.8555,9.136,9.369,8.5365,2020-02-01 05:25:08
8.8705,8.8745,8.959,8.914,8.8555,9.135,9.3695,8.5365,2020-02-01 05:40:11
8.87,8.875,8.959,8.914,8.8555,9.135,9.3685,8.536,2020-02-01 05:55:15
8.8705,8.875,8.959,8.914,8.855,9.134,9.369,8.536,2020-02-01 06:10:19
8.87,8.8755,8.959,8.914,8.855,9.134,9.3685,8.536,2020-02-01 06:25:23
8.87,8.875,8.959,8.9135,8.855,9.1335,9.3685,8.536,2020-02-01 06:40:27
8.8705,8.875,8.959,8.9135,8.855,9.133,9.3685,8.536,2020-02-01 06:55:31
8.8695,8.8735,8.9585,8.913,8.855,9.1315,9.368,8.5355,2020-02-01 07:10:35
8.8685,8.872,8.9575,8.9115,8.8545,9.126,9.365,8.5345,2020-02-01 07:25:39
8.8675,8.8705,8.956,8.909,8.8535,9.1185,9.3615,8.532,2020-02-01 07:40:43
8.866,8.8685,8.955,8.9065,8.8525,9.11,9.358,8.5305,2020-02-01 07:55:47
8.8645,8.867,8.9545,8.904,8.8515,9.1025,9.355,8.5295,2020-02-01 08:10:51
8.8635,8.8645,8.954,8.903,8.8505,9.0975,9.354,8.5285,2020-02-01 08:25:54
8.8635,8.8635,8.954,8.902,8.85,9.094,9.353,8.528,2020-02-01 08:40:58
8.8635,8.863,8.954,8.9015,8.85,9.092,9.3525,8.528,2020-02-01 08:56:02
8.8625,8.8615,8.954,8.901,8.8495,9.091,9.3525,8.528,2020-02-01 09:11:06
8.863,8.8625,8.954,8.901,8.8495,9.0905,9.353,8.528,2020-02-01 09:26:10
8.863,8.861,8.9535,8.901,8.849,9.09,9.3525,8.528,2020-02-01 09:41:14
8.8625,8.8615,8.9535,8.901,8.849,9.089,9.3525,8.5275,2020-02-01 09:56:18
8.8625,8.861,8.9535,8.901,8.849,9.0895,9.3525,8.528,2020-02-01 10:11:22
8.8625,8.8605,8.954,8.9015,8.8495,9.09,9.3525,8.5285,2020-02-01 10:26:25
8.8625,8.862,8.9545,8.902,8.8495,9.0905,9.353,8.529,2020-02-01 10:41:29
8.8625,8.861,8.954,8.902,8.8495,9.0905,9.3525,8.529,2020-02-01 10:56:33
8.8655,8.866,8.957,8.9055,8.8505,9.105,9.3595,8.533,2020-02-01 11:11:37
8.872,8.8735,8.9625,8.915,8.8535,9.141,9.3745,8.5415,2020-02-01 11:26:41
8.8785,8.8835,8.967,8.9255,8.8575,9.1795,9.389,8.5495,2020-02-01 11:41:45
8.884,8.8925,8.9705,8.9345,8.862,9.213,9.4015,8.556,2020-02-01 11:56:49
8.889,8.901,8.9735,8.9425,8.8665,9.243,9.413,8.5615,2020-02-01 12:11:53
8.8925,8.908,8.9755,8.95,8.8705,9.2675,9.422,8.5655,2020-02-01 12:26:57
8.8945,8.913,8.976,8.9545,8.8735,9.28,9.4265,8.567,2020-02-01 12:42:01
8.8945,8.9155,8.9755,8.956,8.8755,9.2845,9.4275,8.567,2020-02-01 12:57:04
8.895,8.9175,8.9755,8.9575,8.8765,9.288,9.4285,8.5675,2020-02-01 13:12:08
8.895,8.918,8.976,8.9585,8.878,9.2915,9.4295,8.568,2020-02-01 13:27:12
8.8955,8.9195,8.976,8.959,8.8785,9.294,9.43,8.5685,2020-02-01 13:42:16
8.8955,8.9195,8.976,8.96,8.8795,9.2955,9.431,8.5685,2020-02-01 13:57:20
8.896,8.921,8.976,8.96,8.8795,9.2965,9.431,8.569,2020-02-01 14:12:24
8.896,8.92,8.976,8.9605,8.8805,9.298,9.432,8.569,2020-02-01 14:27:28
8.8965,8.922,8.9765,8.961,8.881,9.2995,9.4325,8.5695,2020-02-01 14:42:32
8.896,8.922,8.9765,8.961,8.881,9.3,9.4325,8.5695,2020-02-01 14:57:36
8.8965,8.921,8.9765,8.961,8.8815,9.3,9.4325,8.5695,2020-02-01 15:12:40
8.8965,8.9225,8.977,8.9615,8.882,9.301,9.433,8.57,2020-02-01 15:27:44
8.8965,8.923,8.977,8.962,8.882,9.3015,9.433,8.57,2020-02-01 15:42:47
8.8965,8.9225,8.977,8.962,8.8825,9.3025,9.4335,8.5705,2020-02-01 15:57:51
8.897,8.9225,8.977,8.9625,8.883,9.3025,9.4335,8.5705,2020-02-01 16:12:55
8.897,8.9235,8.977,8.962,8.883,9.3025,9.4335,8.5705,2020-02-01 16:27:59
8.8975,8.923,8.977,8.9625,8.8835,9.303,9.435,8.5705,2020-02-01 16:43:03
8.8975,8.9235,8.9775,8.9625,8.8835,9.304,9.436,8.571,2020-02-01 16:58:07
8.8975,8.9245,8.9775,8.963,8.884,9.3045,9.4365,8.571,2020-02-01 17:13:11
8.8975,8.9235,8.9775,8.963,8.884,9.3045,9.4365,8.571,2020-02-01 17:28:15
8.897,8.9235,8.977,8.9625,8.8845,9.3025,9.4355,8.5705,2020-02-01 17:43:19
8.8965,8.923,8.9765,8.9615,8.884,9.298,9.433,8.5695,2020-02-01 17:58:23
