scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
11.923,2020-03-02 05:56:20,10.029,10.147,11.906,10.485,10.111,12.2,11.912
11.922,2020-03-02 06:11:24,10.029,10.147,11.905,10.485,10.111,12.199,11.912
11.922,2020-03-02 06:26:28,10.029,10.147,11.905,10.485,10.111,12.199,11.912
11.922,2020-03-02 06:41:32,10.029,10.147,11.905,10.484,10.111,12.198,11.912
11.921,2020-03-02 06:56:36,10.029,10.147,11.904,10.484,10.111,12.198,11.912
11.921,2020-03-02 07:11:40,10.029,10.147,11.904,10.484,10.11,12.197,11.912
11.921,2020-03-02 07:26:43,10.029,10.147,11.903,10.484,10.11,12.197,11.911
11.92,2020-03-02 07:41:47,10.029,10.146,11.903,10.484,10.11,12.196,11.911
11.92,2020-03-02 07:56:51,10.028,10.146,11.903,10.484,10.11,12.195,11.911
11.919,2020-03-02 08:11:55,10.028,10.147,11.902,10.484,10.11,12.195,11.911
11.919,2020-03-02 08:26:59,10.028,10.146,11.902,10.483,10.11,12.194,11.911
11.919,2020-03-02 08:42:03,10.028,10.146,11.901,10.483,10.11,12.194,11.911
11.919,2020-03-02 08:57:07,10.028,10.146,11.901,10.483,10.11,12.193,11.911
11.919,2020-03-02 09:12:11,10.028,10.146,11.9,10.483,10.11,12.193,11.911
11.918,2020-03-02 09:27:14,10.028,10.146,11.9,10.483,10.11,12.192,11.911
11.918,2020-03-02 09:42:18,10.028,10.146,11.899,10.483,10.11,12.192,11.91
11.918,2020-03-02 09:57:22,10.028,10.146,11.899,10.483,10.11,12.191,11.91
11.917,2020-03-02 10:12:26,10.028,10.146,11.899,10.482,10.11,12.19,11.91
11.917,2020-03-02 10:27:30,10.027,10.146,11.898,10.482,10.109,12.19,11.91
11.917,2020-03-02 10:42:34,10.027,10.146,11.897,10.482,10.109,12.189,11.91
11.916,2020-03-02 10:57:38,10.027,10.146,11.897,10.482,10.109,12.189,11.91
11.916,2020-03-02 11:12:42,10.027,10.145,11.897,10.482,10.109,12.188,11.91
11.915,2020-03-02 11:27:46,10.027,10.147,11.895,10.482,10.109,12.19,11.911
11.914,2020-03-02 11:42:49,10.027,10.148,11.892,10.481,10.108,12.191,11.913
11.913,2020-03-02 11:57:53,10.027,10.148,11.89,10.481,10.107,12.191,11.913
11.911,2020-03-02 12:12:57,10.026,10.148,11.888,10.481,10.106,12.19,11.913
11.911,2020-03-02 12:28:01,10.025,10.149,11.887,10.48,10.105,12.189,11.914
11.911,2020-03-02 12:43:05,10.025,10.148,11.885,10.48,10.104,12.188,11.914
11.911,2020-03-02 12:58:09,10.023,10.147,11.883,10.479,10.182,12.187,11.913
11.91,2020-03-02 13:13:13,10.025,10.147,11.885,10.479,10.104,12.186,11.913
11.909,2020-03-02 13:28:17,10.024,10.147,11.884,10.479,10.104,12.185,11.913
11.908,2020-03-02 13:43:21,10.023,10.147,11.882,10.479,10.103,12.184,11.913
11.907,2020-03-02 13:58:25,10.024,10.148,11.881,10.478,10.102,12.184,11.915
11.906,2020-03-02 14:13:29,10.024,10.148,11.881,10.478,10.102,12.184,11.916
11.906,2020-03-02 14:28:32,10.024,10.148,11.879,10.478,10.102,12.183,11.916
11.905,2020-03-02 14:43:36,10.023,10.148,11.879,10.478,10.102,12.182,11.916
11.904,2020-03-02 14:58:40,10.022,10.148,11.879,10.477,10.101,12.181,11.916
11.903,2020-03-02 15:13:44,10.021,10.147,11.877,10.477,10.101,12.18,11.915
11.903,2020-03-02 15:28:48,10.021,10.148,11.876,10.477,10.101,12.179,11.916
11.902,2020-03-02 15:43:52,10.021,10.148,11.876,10.477,10.1,12.178,11.916
11.902,2020-03-02 15:58:56,10.02,10.148,11.874,10.476,10.1,12.178,11.915
11.901,2020-03-02 16:14:00,10.02,10.148,11.873,10.476,10.1,12.177,11.915
11.9,2020-03-02 16:29:03,10.02,10.148,11.872,10.476,10.1,12.176,11.916
11.899,2020-03-02 16:44:07,10.019,10.148,11.872,10.475,10.099,12.176,11.916
12.087,2020-03-02 16:59:11,10.155,10.186,12.128,10.554,10.192,12.445,11.955
12.087,2020-03-02 17:14:15,10.154,10.186,12.127,10.554,10.192,12.444,11.956
12.086,2020-03-02 17:29:19,10.153,10.186,12.125,10.554,10.191,12.443,11.955
12.085,2020-03-02 17:44:23,10.153,10.186,12.124,10.553,10.191,12.442,11.954
12.084,2020-03-02 17:59:27,10.152,10.185,12.123,10.553,10.19,12.441,11.955
12.083,2020-03-02 18:14:31,10.151,10.185,12.121,10.553,10.19,12.44,11.954
12.083,2020-03-02 18:29:35,10.151,10.185,12.12,10.552,10.19,12.439,11.954
12.082,2020-03-02 18:44:38,10.15,10.185,12.119,10.552,10.189,12.437,11.954
12.081,2020-03-02 18:59:42,10.15,10.185,12.117,10.552,10.189,12.436,11.954
12.08,2020-03-02 19:14:46,10.149,10.185,12.116,10.551,10.189,12.435,11.954
12.08,2020-03-02 19:29:50,10.148,10.185,12.114,10.551,10.188,12.434,11.953
12.078,2020-03-02 19:44:54,10.148,10.184,12.113,10.551,10.188,12.433,11.954
12.078,2020-03-02 19:59:58,10.147,10.184,12.112,10.55,10.187,12.431,11.953
12.077,2020-03-02 20:15:02,10.147,10.184,12.11,10.55,10.187,12.43,11.953
12.076,2020-03-02 20:30:06,10.146,10.184,12.109,10.55,10.186,12.428,11.952
12.075,2020-03-02 20:45:10,10.146,10.184,12.108,10.549,10.186,12.427,11.953
12.074,2020-03-02 21:00:13,10.145,10.184,12.107,10.549,10.186,12.425,11.952
12.073,2020-03-02 21:15:17,10.145,10.184,12.106,10.549,10.186,12.424,11.953
12.072,2020-03-02 21:30:21,10.144,10.184,12.104,10.548,10.185,12.423,11.952
12.072,2020-03-02 21:45:25,10.143,10.183,12.103,10.548,10.185,12.421,11.952
12.071,2020-03-02 22:00:29,10.142,10.183,12.101,10.548,10.184,12.42,11.952
12.07,2020-03-02 22:15:33,10.142,10.183,12.1,10.547,10.184,12.418,11.951
12.069,2020-03-02 22:30:37,10.141,10.182,12.099,10.547,10.183,12.416,11.951
12.068,2020-03-02 22:45:41,10.141,10.183,12.098,10.547,10.183,12.415,11.952
12.067,2020-03-02 23:00:45,10.14,10.182,12.096,10.546,10.183,12.413,11.951
12.067,2020-03-02 23:15:49,10.14,10.182,12.095,10.546,10.182,12.412,11.951
12.065,2020-03-02 23:30:52,10.139,10.182,12.094,10.545,10.182,12.41,11.951
12.065,2020-03-02 23:45:56,10.138,10.182,12.093,10.545,10.182,12.409,11.95
