scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
11.937,2020-03-02 00:09:51,10.04,10.155,11.922,10.49,10.115,12.234,11.92
11.936,2020-03-02 00:24:54,10.039,10.155,11.921,10.49,10.115,12.233,11.919
11.935,2020-03-02 00:39:58,10.038,10.155,11.919,10.49,10.114,12.231,11.919
11.934,2020-03-02 00:55:02,10.038,10.155,11.918,10.489,10.114,12.229,11.919
11.933,2020-03-02 01:10:06,10.037,10.155,11.917,10.489,10.113,12.228,11.919
11.932,2020-03-02 01:25:10,10.036,10.154,11.916,10.489,10.113,12.226,11.919
11.932,2020-03-02 01:40:14,10.035,10.154,11.915,10.489,10.113,12.224,11.918
11.93,2020-03-02 01:55:18,10.035,10.154,11.914,10.488,10.112,12.223,11.918
11.93,2020-03-02 02:10:22,10.034,10.154,11.912,10.488,10.112,12.221,11.917
11.929,2020-03-02 02:25:26,10.033,10.153,11.91,10.487,10.111,12.22,11.917
11.928,2020-03-02 02:40:29,10.033,10.154,11.909,10.487,10.111,12.218,11.917
11.927,2020-03-02 02:55:33,10.032,10.153,11.907,10.487,10.11,12.217,11.917
11.926,2020-03-02 03:10:37,10.031,10.153,11.906,10.487,10.109,12.215,11.917
11.926,2020-03-02 03:25:41,10.031,10.153,11.906,10.486,10.109,12.213,11.916
11.925,2020-03-02 03:40:45,10.032,10.151,11.907,10.486,10.11,12.21,11.916
11.925,2020-03-02 03:55:49,10.031,10.151,11.907,10.486,10.11,12.208,11.915
11.925,2020-03-02 04:10:53,10.031,10.15,11.908,10.486,10.111,12.207,11.915
11.924,2020-03-02 04:25:57,10.031,10.15,11.907,10.486,10.111,12.205,11.914
11.924,2020-03-02 04:41:01,10.03,10.149,11.907,10.486,10.111,12.204,11.914
11.924,2020-03-02 04:56:04,10.03,10.149,11.907,10.486,10.111,12.203,11.913
11.923,2020-03-02 05:11:08,10.03,10.148,11.906,10.485,10.111,12.202,11.913
11.923,2020-03-02 05:26:12,10.03,10.148,11.906,10.485,10.111,12.201,11.913
11.923,2020-03-02 05:41:16,10.029,10.148,11.906,10.485,10.111,12.201,11.913
