scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
8.8835,8.9005,0.0,0.0,0.002,0.0,0.0,0.0,2020-01-31 11:50:36
8.886,8.9055,8.968,8.936,8.853,9.2055,9.3865,8.539,2020-01-31 12:05:40
8.89,8.911,8.972,8.944,8.8555,9.236,9.3925,8.5465,2020-01-31 12:20:43
8.8925,8.9155,8.9735,8.9495,8.8585,9.2565,9.398,8.551,2020-01-31 12:35:47
8.8935,8.9175,8.9735,8.9525,8.86,9.2655,9.4005,8.552,2020-01-31 12:50:51
8.8935,8.9195,8.9735,8.954,8.8615,9.2705,9.402,8.5525,2020-01-31 13:05:55
8.8935,8.92,8.9735,8.955,8.862,9.273,9.403,8.553,2020-01-31 13:20:59
8.8935,8.9205,8.974,8.956,8.863,9.2765,9.405,8.5535,2020-01-31 13:36:03
8.894,8.921,8.974,8.9565,8.8635,9.2805,9.407,8.5545,2020-01-31 13:51:07
8.894,8.9215,8.9745,8.9575,8.8645,9.2835,9.409,8.5555,2020-01-31 14:06:11
8.8945,8.9225,8.9745,8.958,8.865,9.2845,9.41,8.556,2020-01-31 14:21:15
8.8945,8.922,8.9745,8.958,8.8655,9.2855,9.4105,8.556,2020-01-31 14:36:19
8.8945,8.923,8.9745,8.9585,8.866,9.2865,9.4115,8.5565,2020-01-31 14:51:22
8.8945,8.921,8.974,8.9585,8.8665,9.2855,9.412,8.5565,2020-01-31 15:06:26
8.894,8.921,8.974,8.958,8.867,9.2835,9.4125,8.5565,2020-01-31 15:21:30
8.8925,8.9195,8.9735,8.9565,8.867,9.278,9.4105,8.5555,2020-01-31 15:36:34
8.891,8.917,8.9715,8.9545,8.8665,9.27,9.4075,8.554,2020-01-31 15:51:38
8.8895,8.9145,8.971,8.952,8.866,9.262,9.4045,8.5525,2020-01-31 16:06:42
8.889,8.913,8.9705,8.9505,8.8655,9.2565,9.405,8.552,2020-01-31 16:21:46
8.889,8.9115,8.971,8.9495,8.865,9.2525,9.4045,8.5515,2020-01-31 16:36:50
8.8895,8.912,8.971,8.949,8.865,9.2505,9.404,8.5515,2020-01-31 16:51:53
8.8895,8.9125,8.971,8.949,8.865,9.25,9.404,8.552,2020-01-31 17:06:57
8.89,8.911,8.971,8.949,8.8655,9.25,9.4045,8.5525,2020-01-31 17:22:01
8.89,8.9125,8.9715,8.9495,8.8655,9.251,9.4055,8.553,2020-01-31 17:37:05
8.8895,8.913,8.9715,8.9495,8.866,9.2515,9.406,8.553,2020-01-31 17:52:09
8.8895,8.9125,8.9715,8.9495,8.8665,9.252,9.407,8.5535,2020-01-31 18:07:13
8.8895,8.9115,8.9715,8.9495,8.8665,9.252,9.4075,8.5535,2020-01-31 18:22:17
8.8895,8.912,8.9715,8.9495,8.867,9.2525,9.409,8.5535,2020-01-31 18:37:21
8.8895,8.913,8.9715,8.9495,8.867,9.253,9.41,8.5535,2020-01-31 18:52:25
8.8895,8.9125,8.9715,8.949,8.8675,9.2525,9.41,8.5535,2020-01-31 19:07:28
8.8885,8.911,8.9705,8.948,8.8675,9.248,9.408,8.5525,2020-01-31 19:22:32
8.887,8.9085,8.9695,8.946,8.867,9.2415,9.4045,8.551,2020-01-31 19:37:36
8.886,8.907,8.9685,8.9435,8.866,9.233,9.401,8.5495,2020-01-31 19:52:40
8.885,8.905,8.968,8.941,8.865,9.2255,9.398,8.548,2020-01-31 20:07:44
8.884,8.9025,8.967,8.9395,8.8645,9.2195,9.396,8.547,2020-01-31 20:22:48
8.884,8.9015,8.967,8.938,8.864,9.216,9.3955,8.547,2020-01-31 20:37:52
8.8835,8.901,8.9675,8.938,8.8635,9.2145,9.395,8.547,2020-01-31 20:52:56
8.8835,8.901,8.9675,8.938,8.8635,9.214,9.3955,8.5475,2020-01-31 21:08:00
8.883,8.9005,8.9675,8.938,8.8635,9.214,9.3955,8.5475,2020-01-31 21:23:03
8.8835,8.8995,8.9675,8.938,8.8635,9.2135,9.396,8.548,2020-01-31 21:38:07
8.883,8.8995,8.9675,8.938,8.8635,9.2135,9.3965,8.5485,2020-01-31 21:53:11
8.883,8.899,8.9675,8.938,8.864,9.2135,9.3965,8.5485,2020-01-31 22:08:15
8.8835,8.8995,8.9675,8.938,8.864,9.214,9.396,8.5485,2020-01-31 22:23:19
8.883,8.9,8.9675,8.938,8.864,9.214,9.3965,8.5485,2020-01-31 22:38:23
8.883,8.9,8.968,8.938,8.864,9.2145,9.397,8.5485,2020-01-31 22:53:27
8.8835,8.8995,8.9675,8.9375,8.864,9.213,9.3965,8.5485,2020-01-31 23:08:31
8.882,8.8985,8.9665,8.936,8.8635,9.2085,9.394,8.5475,2020-01-31 23:23:35
8.881,8.8955,8.9655,8.934,8.863,9.2015,9.391,8.546,2020-01-31 23:38:38
8.8795,8.8945,8.964,8.931,8.8625,9.1935,9.3875,8.544,2020-01-31 23:53:42
