scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
12.083,2020-02-28 14:24:55,10.152,10.183,12.135,10.554,10.197,12.46,11.953
12.082,2020-02-28 14:39:59,10.152,10.183,12.136,10.554,10.197,12.46,11.955
12.081,2020-02-28 14:55:03,10.151,10.183,12.134,10.554,10.196,12.459,11.953
12.081,2020-02-28 15:10:06,10.15,10.183,12.133,10.553,10.196,12.458,11.952
12.08,2020-02-28 15:25:10,10.15,10.184,12.132,10.553,10.195,12.458,11.953
12.08,2020-02-28 15:40:14,10.149,10.184,12.131,10.553,10.195,12.458,11.954
12.079,2020-02-28 15:55:18,10.149,10.183,12.131,10.552,10.194,12.457,11.954
12.079,2020-02-28 16:10:22,10.148,10.183,12.129,10.552,10.194,12.456,11.952
12.078,2020-02-28 16:25:26,10.147,10.183,12.129,10.552,10.193,12.455,11.952
12.078,2020-02-28 16:40:30,10.147,10.183,12.128,10.551,10.193,12.455,11.952
12.077,2020-02-28 16:55:34,10.146,10.183,12.127,10.551,10.193,12.454,11.952
12.076,2020-02-28 17:10:38,10.146,10.183,12.126,10.55,10.192,12.453,11.952
12.076,2020-02-28 17:25:42,10.145,10.183,12.125,10.55,10.192,12.453,11.952
12.076,2020-02-28 17:40:45,10.145,10.183,12.125,10.55,10.192,12.452,11.952
12.075,2020-02-28 17:55:49,10.144,10.183,12.124,10.549,10.191,12.451,11.951
12.075,2020-02-28 18:10:53,10.144,10.183,12.123,10.549,10.191,12.45,11.951
12.074,2020-02-28 18:25:57,10.144,10.183,12.123,10.549,10.191,12.451,11.952
12.073,2020-02-28 18:41:01,10.143,10.183,12.121,10.548,10.19,12.449,11.951
12.073,2020-02-28 18:56:05,10.142,10.183,12.121,10.548,10.19,12.448,11.951
12.071,2020-02-28 19:11:09,10.142,10.182,12.12,10.548,10.19,12.448,11.951
12.071,2020-02-28 19:26:13,10.141,10.182,12.119,10.547,10.189,12.447,11.95
12.07,2020-02-28 19:41:17,10.14,10.182,12.118,10.547,10.189,12.445,11.95
12.07,2020-02-28 19:56:21,10.14,10.182,12.117,10.547,10.189,12.445,11.95
12.07,2020-02-28 20:11:24,10.139,10.182,12.115,10.546,10.188,12.444,11.949
12.069,2020-02-28 20:26:28,10.139,10.182,12.115,10.546,10.188,12.443,11.949
12.068,2020-02-28 20:41:32,10.138,10.182,12.114,10.546,10.187,12.443,11.95
12.068,2020-02-28 20:56:36,10.138,10.182,12.113,10.545,10.187,12.441,11.949
12.067,2020-02-28 21:11:40,10.137,10.182,12.112,10.545,10.186,12.441,11.949
12.066,2020-02-28 21:26:44,10.137,10.182,12.112,10.545,10.186,12.44,11.949
12.066,2020-02-28 21:41:48,10.136,10.181,12.11,10.544,10.186,12.439,11.949
12.065,2020-02-28 21:56:52,10.135,10.182,12.109,10.544,10.185,12.438,11.949
12.064,2020-02-28 22:11:56,10.135,10.181,12.109,10.544,10.185,12.437,11.949
12.064,2020-02-28 22:27:00,10.134,10.181,12.108,10.543,10.185,12.437,11.948
12.064,2020-02-28 22:42:03,10.133,10.181,12.107,10.543,10.184,12.435,11.947
12.063,2020-02-28 22:57:07,10.133,10.181,12.106,10.543,10.184,12.435,11.948
12.062,2020-02-28 23:12:11,10.133,10.18,12.105,10.542,10.183,12.433,11.948
12.061,2020-02-28 23:27:15,10.132,10.181,12.104,10.542,10.183,12.433,11.948
12.061,2020-02-28 23:42:19,10.132,10.181,12.103,10.542,10.182,12.432,11.948
12.06,2020-02-28 23:57:23,10.131,10.181,12.102,10.542,10.182,12.431,11.948
