scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
12.087,2020-02-28 00:06:13,10.135,10.191,12.079,10.538,10.165,12.437,11.948
12.087,2020-02-28 00:21:17,10.134,10.19,12.078,10.538,10.165,12.436,11.947
12.086,2020-02-28 00:36:20,10.133,10.191,12.078,10.537,10.164,12.436,11.947
12.086,2020-02-28 00:51:24,10.133,10.191,12.078,10.537,10.164,12.435,11.948
12.085,2020-02-28 01:06:28,10.133,10.191,12.078,10.537,10.164,12.435,11.948
12.085,2020-02-28 01:21:32,10.132,10.191,12.077,10.536,10.164,12.434,11.947
12.085,2020-02-28 01:36:36,10.132,10.19,12.076,10.536,10.163,12.433,11.947
12.084,2020-02-28 01:51:40,10.131,10.19,12.075,10.536,10.163,12.432,11.946
12.083,2020-02-28 02:06:44,10.13,10.19,12.074,10.536,10.163,12.432,11.947
12.083,2020-02-28 02:21:48,10.13,10.19,12.073,10.535,10.162,12.431,11.946
12.083,2020-02-28 02:36:52,10.13,10.191,12.073,10.535,10.162,12.431,11.947
12.082,2020-02-28 02:51:56,10.129,10.19,12.072,10.535,10.161,12.43,11.946
12.082,2020-02-28 03:07:00,10.128,10.19,12.072,10.534,10.161,12.429,11.946
12.082,2020-02-28 03:22:03,10.127,10.189,12.071,10.534,10.161,12.427,11.944
12.082,2020-02-28 03:37:07,10.127,10.188,12.072,10.534,10.161,12.425,11.944
12.082,2020-02-28 03:52:11,10.127,10.187,12.072,10.534,10.162,12.423,11.943
12.081,2020-02-28 04:07:15,10.127,10.186,12.073,10.534,10.162,12.421,11.943
12.081,2020-02-28 04:22:19,10.127,10.186,12.073,10.533,10.162,12.42,11.943
12.08,2020-02-28 04:37:23,10.127,10.185,12.073,10.533,10.162,12.419,11.942
12.08,2020-02-28 04:52:27,10.127,10.185,12.073,10.533,10.162,12.417,11.942
12.08,2020-02-28 05:07:31,10.126,10.184,12.073,10.533,10.162,12.416,11.942
12.08,2020-02-28 05:22:35,10.126,10.184,12.072,10.533,10.162,12.415,11.941
12.08,2020-02-28 05:37:38,10.126,10.183,12.072,10.533,10.162,12.415,11.941
12.079,2020-02-28 05:52:42,10.125,10.183,12.071,10.532,10.162,12.414,11.941
12.079,2020-02-28 06:07:46,10.125,10.183,12.071,10.532,10.162,12.413,11.94
12.079,2020-02-28 06:22:50,10.125,10.183,12.071,10.532,10.162,12.413,11.94
12.078,2020-02-28 06:37:54,10.125,10.182,12.07,10.532,10.162,12.412,11.94
12.078,2020-02-28 06:52:58,10.125,10.182,12.07,10.532,10.162,12.411,11.94
12.078,2020-02-28 07:08:02,10.125,10.182,12.07,10.531,10.161,12.411,11.94
12.077,2020-02-28 07:23:06,10.124,10.182,12.069,10.531,10.161,12.41,11.94
12.077,2020-02-28 07:38:10,10.124,10.182,12.069,10.531,10.161,12.41,11.94
12.077,2020-02-28 07:53:13,10.124,10.181,12.069,10.531,10.161,12.409,11.94
12.077,2020-02-28 08:08:17,10.124,10.182,12.068,10.531,10.161,12.409,11.939
12.077,2020-02-28 08:23:21,10.124,10.181,12.068,10.53,10.161,12.408,11.939
12.076,2020-02-28 08:38:25,10.124,10.182,12.067,10.53,10.16,12.408,11.939
12.076,2020-02-28 08:53:29,10.124,10.181,12.067,10.53,10.16,12.408,11.939
12.076,2020-02-28 09:08:33,10.123,10.182,12.067,10.53,10.16,12.407,11.939
12.075,2020-02-28 09:23:37,10.124,10.182,12.067,10.53,10.16,12.407,11.941
12.076,2020-02-28 09:38:41,10.123,10.181,12.066,10.53,10.16,12.407,11.939
12.075,2020-02-28 09:53:45,10.123,10.181,12.066,10.53,10.16,12.406,11.939
12.075,2020-02-28 10:08:48,10.123,10.181,12.066,10.529,10.16,12.406,11.939
12.075,2020-02-28 10:23:52,10.123,10.181,12.065,10.529,10.16,12.405,11.939
12.075,2020-02-28 10:38:56,10.122,10.181,12.065,10.529,10.16,12.405,11.938
12.075,2020-02-28 10:54:00,10.123,10.182,12.065,10.529,10.151,12.405,11.942
12.074,2020-02-28 11:09:04,10.124,10.182,12.066,10.528,10.159,12.405,11.94
12.073,2020-02-28 11:24:08,10.124,10.182,12.064,10.528,10.159,12.405,11.941
12.072,2020-02-28 11:39:12,10.123,10.183,12.062,10.528,10.158,12.407,11.941
12.072,2020-02-28 11:54:16,10.122,10.183,12.06,10.528,10.157,12.406,11.941
12.071,2020-02-28 12:09:20,10.122,10.183,12.059,10.527,10.156,12.406,11.942
12.071,2020-02-28 12:24:24,10.121,10.183,12.057,10.527,10.156,12.406,11.941
12.071,2020-02-28 12:39:27,10.121,10.183,12.056,10.527,10.155,12.406,11.941
12.07,2020-02-28 12:54:31,10.121,10.183,12.056,10.526,10.155,12.405,11.942
12.069,2020-02-28 13:09:35,10.12,10.184,12.055,10.526,10.154,12.405,11.942
12.069,2020-02-28 13:24:39,10.12,10.184,12.054,10.526,10.153,12.405,11.943
12.069,2020-02-28 13:39:43,10.119,10.184,12.053,10.525,10.153,12.404,11.942
12.068,2020-02-28 13:54:47,10.119,10.184,12.052,10.525,10.153,12.404,11.942
12.068,2020-02-28 14:09:51,10.118,10.183,12.051,10.525,10.152,12.403,11.942
