scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.9375,9.206,8.845,8.88,2020-01-20 00:14:30,8.867,8.8405,9.1115,10.281
9.935,9.2065,8.8455,8.878,2020-01-20 00:29:34,8.865,8.839,9.1105,10.282
9.933,9.2065,8.846,8.876,2020-01-20 00:44:38,8.863,8.839,9.1095,10.284
9.9315,9.2065,8.846,8.8745,2020-01-20 00:59:42,8.862,8.8385,9.1095,10.285
9.9305,9.2065,8.846,8.874,2020-01-20 01:14:46,8.861,8.838,9.1095,10.286
9.93,9.2065,8.846,8.8735,2020-01-20 01:29:50,8.8605,8.8375,9.109,10.285
9.9295,9.2065,8.8465,8.873,2020-01-20 01:44:54,8.8605,8.8375,9.109,10.286
9.929,9.207,8.8465,8.873,2020-01-20 01:59:58,8.8605,8.837,9.109,10.285
9.9295,9.207,8.8465,8.873,2020-01-20 02:15:01,8.8605,8.837,9.1095,10.287
9.929,9.207,8.8465,8.873,2020-01-20 02:30:05,8.8605,8.8365,9.1095,10.286
9.929,9.207,8.8465,8.8725,2020-01-20 02:45:09,8.8605,8.837,9.1095,10.285
9.929,9.207,8.8465,8.8725,2020-01-20 03:00:13,8.8605,8.837,9.1095,10.285
9.929,9.207,8.8465,8.8725,2020-01-20 03:15:17,8.8605,8.8365,9.1095,10.286
9.929,9.207,8.8465,8.8725,2020-01-20 03:30:21,8.8605,8.837,9.1095,10.286
9.9275,9.207,8.8465,8.872,2020-01-20 03:45:25,8.8595,8.8365,9.1095,10.286
9.926,9.207,8.847,8.8705,2020-01-20 04:00:29,8.858,8.8365,9.1085,10.286
9.9245,9.2075,8.847,8.869,2020-01-20 04:15:33,8.8565,8.836,9.1085,10.287
9.9235,9.2075,8.8475,8.8675,2020-01-20 04:30:36,8.8545,8.835,9.108,10.281
9.922,9.208,8.848,8.8655,2020-01-20 04:45:40,8.853,8.835,9.1075,10.283
9.9205,9.2075,8.848,8.8635,2020-01-20 05:00:44,8.8515,8.8335,9.107,10.278
9.9195,9.208,8.8485,8.8625,2020-01-20 05:15:48,8.851,8.8335,9.1065,10.278
9.9185,9.208,8.8485,8.862,2020-01-20 05:30:52,8.85,8.8325,9.1065,10.279
9.9175,9.208,8.8485,8.862,2020-01-20 05:45:56,8.85,8.832,9.1065,10.279
9.918,9.208,8.8485,8.862,2020-01-20 06:01:00,8.85,8.8325,9.1065,10.28
9.9175,9.208,8.8485,8.862,2020-01-20 06:16:04,8.85,8.833,9.1065,10.28
9.9175,9.208,8.8485,8.862,2020-01-20 06:31:08,8.85,8.8325,9.1065,10.279
9.9175,9.208,8.8485,8.862,2020-01-20 06:46:11,8.85,8.8325,9.1065,10.279
9.917,9.208,8.8485,8.862,2020-01-20 07:01:15,8.8495,8.833,9.1065,10.279
9.917,9.2085,8.8485,8.862,2020-01-20 07:16:19,8.8495,8.832,9.107,10.281
9.917,9.2085,8.8485,8.8615,2020-01-20 07:31:23,8.8495,8.832,9.107,10.28
9.916,9.2085,8.849,8.861,2020-01-20 07:46:27,8.849,8.8325,9.107,10.28
9.9155,9.2085,8.849,8.86,2020-01-20 08:01:31,8.848,8.8315,9.1065,10.282
9.914,9.209,8.849,8.8585,2020-01-20 08:16:35,8.8465,8.831,9.106,10.282
9.9125,9.209,8.849,8.856,2020-01-20 08:31:39,8.8445,8.8315,9.105,10.283
9.9105,9.209,8.8495,8.8535,2020-01-20 08:46:43,8.8425,8.8295,9.1045,10.278
9.9095,9.209,8.8495,8.8525,2020-01-20 09:01:46,8.842,8.829,9.104,10.279
9.909,9.209,8.85,8.852,2020-01-20 09:16:50,8.8415,8.829,9.104,10.28
9.9085,9.209,8.8495,8.852,2020-01-20 09:31:54,8.841,8.829,9.104,10.28
9.9075,9.209,8.8495,8.8515,2020-01-20 09:46:58,8.8405,8.828,9.104,10.28
9.907,9.209,8.8495,8.8515,2020-01-20 10:02:02,8.8405,8.8285,9.1035,10.279
9.907,9.2095,8.8495,8.851,2020-01-20 10:17:06,8.84,8.8285,9.1035,10.28
9.9065,9.2095,8.8495,8.8505,2020-01-20 10:32:10,8.84,8.828,9.1035,10.281
9.906,9.2095,8.8495,8.85,2020-01-20 10:47:14,8.8395,8.828,9.1035,10.281
9.906,9.2095,8.85,8.85,2020-01-20 11:02:18,8.839,8.828,9.1035,10.281
9.9055,9.2095,8.8495,8.85,2020-01-20 11:17:21,8.839,8.828,9.1035,10.282
9.905,9.2095,8.85,8.8495,2020-01-20 11:32:25,8.839,8.8275,9.1035,10.281
9.905,9.2095,8.85,8.8495,2020-01-20 11:47:29,8.8385,8.828,9.1035,10.281
9.9045,9.21,8.85,8.848,2020-01-20 12:02:33,8.8375,8.8275,9.103,10.274
9.9025,9.21,8.8505,8.8455,2020-01-20 12:17:37,8.836,8.827,9.102,10.276
