scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.96,9.213,8.843,8.898,2020-01-22 00:11:54,8.89,8.8495,9.1265,10.273
9.9595,9.213,8.843,8.8975,2020-01-22 00:26:58,8.8895,8.8495,9.126,10.273
9.9595,9.213,8.843,8.897,2020-01-22 00:42:02,8.8885,8.8495,9.126,10.274
9.957,9.213,8.8435,8.8955,2020-01-22 00:57:05,8.8865,8.849,9.125,10.276
9.9545,9.2135,8.844,8.8935,2020-01-22 01:12:09,8.884,8.8485,9.124,10.278
9.951,9.2135,8.8445,8.891,2020-01-22 01:27:13,8.881,8.8475,9.123,10.279
9.9485,9.2135,8.845,8.8885,2020-01-22 01:42:17,8.8785,8.8465,9.122,10.281
9.947,9.2135,8.8455,8.8875,2020-01-22 01:57:21,8.877,8.846,9.122,10.283
9.9455,9.2135,8.846,8.8865,2020-01-22 02:12:25,8.8765,8.8455,9.122,10.282
9.945,9.2135,8.846,8.886,2020-01-22 02:27:29,8.876,8.8455,9.1215,10.283
9.9445,9.214,8.846,8.8855,2020-01-22 02:42:33,8.876,8.8445,9.1215,10.283
9.945,9.214,8.846,8.8855,2020-01-22 02:57:37,8.876,8.8445,9.1215,10.282
9.945,9.214,8.846,8.8855,2020-01-22 03:12:41,8.8765,8.845,9.122,10.283
9.945,9.214,8.8465,8.8855,2020-01-22 03:27:44,8.8765,8.845,9.122,10.284
9.9445,9.214,8.8465,8.885,2020-01-22 03:42:48,8.876,8.845,9.1215,10.283
9.9445,9.214,8.8465,8.8855,2020-01-22 03:57:52,8.876,8.845,9.122,10.284
9.9445,9.214,8.8465,8.885,2020-01-22 04:12:56,8.876,8.8445,9.122,10.283
9.9445,9.214,8.8465,8.885,2020-01-22 04:28:00,8.876,8.8445,9.122,10.283
9.943,9.214,8.8465,8.8845,2020-01-22 04:43:04,8.875,8.844,9.1215,10.284
9.9415,9.214,8.8465,8.8835,2020-01-22 04:58:08,8.8735,8.8445,9.121,10.285
9.94,9.2145,8.847,8.8815,2020-01-22 05:13:12,8.8715,8.843,9.12,10.286
9.9365,9.2145,8.8475,8.879,2020-01-22 05:28:16,8.869,8.8425,9.119,10.288
9.935,9.2145,8.848,8.8775,2020-01-22 05:43:20,8.867,8.842,9.1185,10.288
9.933,9.2145,8.8485,8.876,2020-01-22 05:58:23,8.866,8.8415,9.1185,10.289
9.9325,9.2145,8.8485,8.8755,2020-01-22 06:13:27,8.8655,8.841,9.1185,10.289
9.9315,9.215,8.8485,8.875,2020-01-22 06:28:31,8.8655,8.841,9.1185,10.291
9.9315,9.215,8.8485,8.8745,2020-01-22 06:43:35,8.8655,8.8405,9.1185,10.29
9.931,9.215,8.849,8.8745,2020-01-22 06:58:39,8.865,8.8405,9.118,10.29
9.9315,9.215,8.849,8.8745,2020-01-22 07:13:43,8.865,8.84,9.1185,10.29
9.9315,9.215,8.849,8.8745,2020-01-22 07:28:47,8.865,8.84,9.1185,10.29
9.9305,9.215,8.849,8.8745,2020-01-22 07:43:51,8.865,8.84,9.1185,10.29
