scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
9.9195,11.584,11.984,10.008,11.548,11.773,13.045,11.1,2020-02-28 00:06:08
9.9195,11.582,11.983,10.008,11.547,11.772,13.044,11.099,2020-02-28 00:21:12
9.9195,11.579,11.981,10.007,11.547,11.771,13.043,11.098,2020-02-28 00:36:16
9.918,11.576,11.98,10.006,11.546,11.768,13.041,11.097,2020-02-28 00:51:20
9.9175,11.572,11.978,10.005,11.545,11.765,13.04,11.096,2020-02-28 01:06:24
9.917,11.569,11.977,10.004,11.545,11.764,13.039,11.095,2020-02-28 01:21:27
9.916,11.566,11.976,10.003,11.544,11.763,13.04,11.094,2020-02-28 01:36:31
9.916,11.563,11.974,10.003,11.544,11.763,13.042,11.094,2020-02-28 01:51:35
9.916,11.561,11.973,10.003,11.544,11.764,13.041,11.093,2020-02-28 02:06:39
9.9155,11.558,11.972,10.003,11.544,11.765,13.04,11.093,2020-02-28 02:21:43
9.9155,11.556,11.971,10.003,11.544,11.766,13.039,11.093,2020-02-28 02:36:47
9.9155,11.552,11.97,10.002,11.543,11.766,13.039,11.092,2020-02-28 02:51:51
9.915,11.55,11.968,10.002,11.543,11.765,13.037,11.09,2020-02-28 03:06:55
9.915,11.549,11.968,10.001,11.542,11.765,13.037,11.09,2020-02-28 03:21:59
9.918,11.553,11.97,10.005,11.544,11.781,13.047,11.093,2020-02-28 03:37:03
9.922,11.556,11.972,10.011,11.547,11.8,13.056,11.098,2020-02-28 03:52:06
9.923,11.559,11.971,10.014,11.549,11.811,13.058,11.099,2020-02-28 04:07:10
9.923,11.559,11.971,10.015,11.549,11.815,13.057,11.098,2020-02-28 04:22:14
9.923,11.56,11.971,10.016,11.549,11.817,13.057,11.098,2020-02-28 04:37:18
9.923,11.56,11.971,10.017,11.55,11.82,13.057,11.098,2020-02-28 04:52:22
9.923,11.559,11.97,10.018,11.55,11.822,13.058,11.098,2020-02-28 05:07:26
9.9225,11.559,11.97,10.019,11.55,11.823,13.058,11.097,2020-02-28 05:22:30
9.9225,11.559,11.97,10.019,11.55,11.825,13.058,11.097,2020-02-28 05:37:34
9.922,11.559,11.969,10.019,11.55,11.825,13.058,11.097,2020-02-28 05:52:38
9.922,11.559,11.969,10.018,11.55,11.826,13.057,11.096,2020-02-28 06:07:42
9.9215,11.558,11.968,10.018,11.55,11.827,13.057,11.096,2020-02-28 06:22:46
9.9215,11.558,11.968,10.018,11.55,11.827,13.057,11.095,2020-02-28 06:37:50
9.921,11.557,11.968,10.018,11.55,11.828,13.057,11.095,2020-02-28 06:52:53
9.9205,11.557,11.967,10.017,11.55,11.828,13.057,11.094,2020-02-28 07:07:57
9.921,11.557,11.967,10.017,11.55,11.828,13.056,11.094,2020-02-28 07:23:01
9.9205,11.556,11.967,10.017,11.549,11.828,13.056,11.094,2020-02-28 07:38:05
9.9205,11.555,11.966,10.017,11.549,11.828,13.056,11.093,2020-02-28 07:53:09
9.9195,11.554,11.966,10.018,11.549,11.829,13.056,11.093,2020-02-28 08:08:13
9.9195,11.554,11.966,10.017,11.549,11.829,13.056,11.093,2020-02-28 08:23:17
9.9195,11.555,11.965,10.017,11.549,11.829,13.055,11.092,2020-02-28 08:38:21
9.9195,11.554,11.965,10.017,11.548,11.829,13.055,11.091,2020-02-28 08:53:25
9.9195,11.553,11.964,10.017,11.548,11.828,13.055,11.091,2020-02-28 09:08:29
9.919,11.552,11.964,10.016,11.548,11.828,13.054,11.09,2020-02-28 09:23:33
9.919,11.552,11.964,10.016,11.547,11.829,13.054,11.09,2020-02-28 09:38:36
9.919,11.552,11.963,10.016,11.547,11.828,13.054,11.089,2020-02-28 09:53:40
9.918,11.55,11.962,10.016,11.547,11.828,13.053,11.089,2020-02-28 10:08:44
9.918,11.549,11.962,10.015,11.547,11.828,13.053,11.088,2020-02-28 10:23:48
9.918,11.549,11.962,10.015,11.547,11.828,13.053,11.088,2020-02-28 10:38:52
9.9175,11.548,11.961,10.015,11.546,11.828,13.052,11.087,2020-02-28 10:53:56
9.9175,11.548,11.96,10.014,12.198,11.825,13.051,11.086,2020-02-28 11:09:00
9.918,11.548,11.96,10.013,11.545,11.824,13.05,11.086,2020-02-28 11:24:04
9.918,11.546,11.959,10.012,11.545,11.821,13.048,11.084,2020-02-28 11:39:08
9.9165,11.543,11.957,10.01,11.543,11.814,13.043,11.082,2020-02-28 11:54:11
9.914,11.539,11.955,10.007,11.542,11.804,13.038,11.079,2020-02-28 12:09:15
9.9125,11.534,11.954,10.005,11.54,11.795,13.034,11.077,2020-02-28 12:24:19
9.911,11.53,11.952,10.002,11.538,11.786,13.03,11.074,2020-02-28 12:39:23
9.91,11.526,11.95,10.0,11.537,11.779,13.027,11.072,2020-02-28 12:54:27
9.909,11.523,11.949,9.999,11.535,11.774,13.026,11.071,2020-02-28 13:09:31
9.909,11.52,11.948,9.9985,11.535,11.773,13.025,11.07,2020-02-28 13:24:35
9.908,11.517,11.946,9.9975,11.534,11.771,13.023,11.069,2020-02-28 13:39:39
9.907,11.514,11.945,9.996,11.533,11.767,13.022,11.068,2020-02-28 13:54:43
9.9065,11.511,11.944,9.995,11.532,11.763,13.02,11.067,2020-02-28 14:09:46
9.9825,11.917,12.121,10.077,11.611,11.893,13.018,11.214,2020-02-28 14:24:50
9.982,11.915,12.12,10.077,11.61,11.892,13.175,11.213,2020-02-28 14:39:54
9.982,11.912,12.118,10.077,11.609,11.892,13.175,11.212,2020-02-28 14:54:58
9.981,11.909,12.117,10.076,11.609,11.891,13.174,11.211,2020-02-28 15:10:02
9.9805,11.906,12.116,10.075,11.608,11.889,13.172,11.21,2020-02-28 15:25:06
9.98,11.904,12.115,10.075,11.608,11.888,13.171,11.209,2020-02-28 15:40:10
9.98,11.901,12.113,10.075,11.607,11.888,13.171,11.208,2020-02-28 15:55:14
9.9795,11.897,12.112,10.075,11.607,11.888,13.171,11.208,2020-02-28 16:10:18
9.979,11.894,12.111,10.074,11.607,11.886,13.169,11.206,2020-02-28 16:25:22
9.9785,11.892,12.109,10.073,11.606,11.885,13.168,11.206,2020-02-28 16:40:25
9.978,11.888,12.108,10.073,11.605,11.884,13.167,11.204,2020-02-28 16:55:29
9.9775,11.885,12.106,10.072,11.605,11.882,13.166,11.204,2020-02-28 17:10:33
9.977,11.882,12.105,10.071,11.605,11.88,13.164,11.202,2020-02-28 17:25:37
9.9765,11.879,12.104,10.071,11.604,11.88,13.164,11.202,2020-02-28 17:40:41
9.9765,11.875,12.102,10.071,11.604,11.879,13.163,11.201,2020-02-28 17:55:45
9.976,11.872,12.101,10.07,11.603,11.878,13.162,11.2,2020-02-28 18:10:49
9.976,11.869,12.099,10.07,11.603,11.879,13.164,11.199,2020-02-28 18:25:53
9.976,11.866,12.098,10.07,11.603,11.88,13.165,11.199,2020-02-28 18:40:56
9.975,11.863,12.096,10.07,11.603,11.88,13.163,11.198,2020-02-28 18:56:00
9.9745,11.859,12.095,10.069,11.603,11.879,13.161,11.197,2020-02-28 19:11:04
9.974,11.856,12.094,10.069,11.602,11.879,13.16,11.197,2020-02-28 19:26:08
9.9735,11.852,12.092,10.068,11.601,11.876,13.158,11.195,2020-02-28 19:41:12
9.973,11.849,12.09,10.067,11.601,11.875,13.157,11.194,2020-02-28 19:56:16
9.973,11.845,12.088,10.067,11.6,11.875,13.157,11.193,2020-02-28 20:11:20
9.972,11.842,12.087,10.066,11.6,11.873,13.155,11.192,2020-02-28 20:26:24
9.972,11.838,12.085,10.065,11.599,11.872,13.154,11.191,2020-02-28 20:41:27
9.971,11.834,12.084,10.065,11.599,11.87,13.153,11.19,2020-02-28 20:56:31
9.97,11.83,12.082,10.064,11.598,11.869,13.153,11.19,2020-02-28 21:11:35
9.97,11.827,12.08,10.063,11.598,11.869,13.153,11.188,2020-02-28 21:26:39
9.969,11.823,12.078,10.063,11.598,11.868,13.152,11.188,2020-02-28 21:41:43
9.969,11.819,12.077,10.062,11.597,11.868,13.151,11.187,2020-02-28 21:56:47
9.9685,11.815,12.075,10.061,11.597,11.866,13.149,11.186,2020-02-28 22:11:51
9.968,11.812,12.073,10.061,11.596,11.865,13.148,11.185,2020-02-28 22:26:55
9.968,11.808,12.071,10.06,11.596,11.864,13.147,11.183,2020-02-28 22:41:59
9.9675,11.805,12.07,10.059,11.595,11.863,13.146,11.183,2020-02-28 22:57:03
9.967,11.801,12.068,10.059,11.595,11.863,13.145,11.182,2020-02-28 23:12:06
9.967,11.798,12.067,10.059,11.595,11.863,13.147,11.182,2020-02-28 23:27:10
9.967,11.794,12.065,10.059,11.595,11.865,13.149,11.181,2020-02-28 23:42:14
9.9665,11.791,12.064,10.059,11.595,11.866,13.147,11.18,2020-02-28 23:57:18
