scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
12.059,2020-02-29 00:12:27,10.13,10.18,12.101,10.541,10.182,12.43,11.947
12.059,2020-02-29 00:27:31,10.13,10.18,12.101,10.541,10.181,12.429,11.947
12.058,2020-02-29 00:42:34,10.13,10.18,12.1,10.54,10.181,12.428,11.947
12.058,2020-02-29 00:57:38,10.129,10.18,12.099,10.54,10.181,12.427,11.947
12.057,2020-02-29 01:12:42,10.129,10.18,12.098,10.54,10.18,12.426,11.947
12.056,2020-02-29 01:27:46,10.128,10.18,12.097,10.539,10.18,12.425,11.947
12.056,2020-02-29 01:42:50,10.127,10.18,12.096,10.539,10.179,12.424,11.946
12.055,2020-02-29 01:57:54,10.127,10.179,12.095,10.539,10.179,12.423,11.946
12.054,2020-02-29 02:12:58,10.127,10.179,12.095,10.538,10.179,12.423,11.947
12.054,2020-02-29 02:28:02,10.126,10.179,12.094,10.538,10.178,12.422,11.946
12.053,2020-02-29 02:43:06,10.126,10.179,12.093,10.538,10.178,12.421,11.946
12.053,2020-02-29 02:58:10,10.125,10.179,12.092,10.537,10.177,12.419,11.945
12.052,2020-02-29 03:13:14,10.124,10.179,12.09,10.537,10.177,12.419,11.946
12.052,2020-02-29 03:28:17,10.124,10.178,12.091,10.537,10.177,12.416,11.945
12.052,2020-02-29 03:43:21,10.124,10.177,12.093,10.537,10.178,12.414,11.944
12.051,2020-02-29 03:58:25,10.125,10.176,12.094,10.537,10.178,12.412,11.944
12.051,2020-02-29 04:13:29,10.124,10.175,12.093,10.536,10.179,12.411,11.943
12.051,2020-02-29 04:28:33,10.124,10.174,12.093,10.536,10.179,12.409,11.943
12.051,2020-02-29 04:43:37,10.123,10.174,12.093,10.536,10.179,12.408,11.943
12.051,2020-02-29 04:58:41,10.123,10.174,12.092,10.536,10.179,12.407,11.942
12.05,2020-02-29 05:13:45,10.122,10.173,12.092,10.536,10.178,12.406,11.941
12.05,2020-02-29 05:28:48,10.122,10.173,12.091,10.536,10.178,12.406,11.941
12.05,2020-02-29 05:43:52,10.122,10.173,12.091,10.536,10.178,12.405,11.941
12.05,2020-02-29 05:58:56,10.122,10.173,12.091,10.535,10.178,12.405,11.941
12.049,2020-02-29 06:14:00,10.122,10.172,12.091,10.535,10.178,12.404,11.941
12.049,2020-02-29 06:29:04,10.122,10.172,12.09,10.535,10.178,12.404,11.941
12.049,2020-02-29 06:44:08,10.122,10.172,12.09,10.535,10.178,12.403,11.941
12.048,2020-02-29 06:59:12,10.122,10.172,12.089,10.535,10.178,12.403,11.94
12.048,2020-02-29 07:14:16,10.121,10.172,12.089,10.535,10.178,12.403,11.94
12.048,2020-02-29 07:29:20,10.121,10.172,12.089,10.534,10.178,12.402,11.94
12.048,2020-02-29 07:44:24,10.121,10.172,12.089,10.534,10.177,12.402,11.94
12.048,2020-02-29 07:59:27,10.121,10.172,12.088,10.534,10.177,12.401,11.94
12.048,2020-02-29 08:14:31,10.121,10.172,12.088,10.534,10.177,12.401,11.94
12.047,2020-02-29 08:29:35,10.121,10.172,12.088,10.534,10.177,12.4,11.94
12.047,2020-02-29 08:44:39,10.121,10.172,12.087,10.533,10.177,12.4,11.94
12.047,2020-02-29 08:59:43,10.121,10.172,12.087,10.533,10.177,12.399,11.94
12.046,2020-02-29 09:14:47,10.12,10.172,12.087,10.533,10.177,12.399,11.94
12.046,2020-02-29 09:29:51,10.12,10.172,12.086,10.533,10.177,12.399,11.939
12.046,2020-02-29 09:44:55,10.12,10.171,12.086,10.533,10.177,12.398,11.939
12.046,2020-02-29 09:59:58,10.12,10.171,12.085,10.533,10.176,12.398,11.939
12.045,2020-02-29 10:15:02,10.12,10.171,12.085,10.533,10.176,12.397,11.939
12.045,2020-02-29 10:30:06,10.12,10.171,12.085,10.533,10.176,12.397,11.939
12.045,2020-02-29 10:45:10,10.12,10.171,12.085,10.532,10.176,12.396,11.939
12.045,2020-02-29 11:00:14,10.119,10.171,12.084,10.532,10.176,12.396,11.939
12.044,2020-02-29 11:15:18,10.119,10.171,12.084,10.532,10.176,12.396,11.939
12.044,2020-02-29 11:30:22,10.119,10.172,12.082,10.532,10.175,12.397,11.94
12.043,2020-02-29 11:45:26,10.119,10.173,12.079,10.532,10.174,12.398,11.941
12.042,2020-02-29 12:00:29,10.118,10.173,12.077,10.531,10.173,12.397,11.942
12.041,2020-02-29 12:15:33,10.117,10.173,12.075,10.531,10.172,12.396,11.941
12.04,2020-02-29 12:30:37,10.117,10.173,12.074,10.53,10.171,12.395,11.941
12.039,2020-02-29 12:45:41,10.117,10.173,12.073,10.53,10.171,12.395,11.943
12.038,2020-02-29 13:00:45,10.118,10.174,12.073,10.53,10.17,12.395,11.945
12.037,2020-02-29 13:15:49,10.118,10.174,12.073,10.529,10.17,12.394,11.945
12.037,2020-02-29 13:30:53,10.117,10.174,12.073,10.529,10.17,12.393,11.945
12.036,2020-02-29 13:45:57,10.116,10.173,12.072,10.529,10.169,12.391,11.944
12.035,2020-02-29 14:01:01,10.116,10.174,12.071,10.528,10.169,12.39,11.944
12.034,2020-02-29 14:16:05,10.115,10.173,12.069,10.528,10.168,12.389,11.944
12.034,2020-02-29 14:31:09,10.114,10.173,12.068,10.528,10.168,12.388,11.943
12.033,2020-02-29 14:46:12,10.114,10.173,12.068,10.527,10.168,12.387,11.944
12.032,2020-02-29 15:01:16,10.113,10.173,12.067,10.527,10.167,12.386,11.944
12.031,2020-02-29 15:16:20,10.112,10.173,12.065,10.527,10.166,12.385,11.943
12.03,2020-02-29 15:31:24,10.112,10.173,12.064,10.526,10.166,12.384,11.944
12.029,2020-02-29 15:46:28,10.111,10.173,12.063,10.526,10.166,12.383,11.944
12.029,2020-02-29 16:01:32,10.11,10.172,12.061,10.526,10.165,12.381,11.943
12.028,2020-02-29 16:16:36,10.11,10.173,12.06,10.525,10.165,12.38,11.943
12.027,2020-02-29 16:31:40,10.109,10.173,12.059,10.525,10.164,12.379,11.943
12.027,2020-02-29 16:46:44,10.108,10.172,12.058,10.525,10.164,12.378,11.942
12.025,2020-02-29 17:01:47,10.108,10.172,12.057,10.524,10.163,12.377,11.943
12.025,2020-02-29 17:16:51,10.108,10.172,12.056,10.524,10.163,12.376,11.943
12.024,2020-02-29 17:31:55,10.107,10.172,12.055,10.524,10.162,12.375,11.943
12.024,2020-02-29 17:46:59,10.106,10.172,12.054,10.523,10.162,12.373,11.942
12.023,2020-02-29 18:02:03,10.106,10.172,12.053,10.523,10.162,12.373,11.942
12.022,2020-02-29 18:17:07,10.105,10.172,12.051,10.523,10.161,12.372,11.942
12.021,2020-02-29 18:32:11,10.104,10.171,12.05,10.522,10.161,12.37,11.942
12.02,2020-02-29 18:47:15,10.104,10.171,12.049,10.522,10.161,12.369,11.942
12.019,2020-02-29 19:02:19,10.103,10.171,12.048,10.522,10.16,12.368,11.942
12.018,2020-02-29 19:17:23,10.103,10.171,12.047,10.521,10.159,12.367,11.942
12.018,2020-02-29 19:32:26,10.102,10.171,12.046,10.521,10.159,12.366,11.942
12.017,2020-02-29 19:47:30,10.101,10.171,12.045,10.521,10.159,12.364,11.941
12.016,2020-02-29 20:02:34,10.101,10.17,12.044,10.52,10.158,12.363,11.941
12.015,2020-02-29 20:17:38,10.1,10.17,12.042,10.52,10.158,12.362,11.941
12.014,2020-02-29 20:32:42,10.1,10.171,12.041,10.52,10.157,12.361,11.941
12.013,2020-02-29 20:47:46,10.099,10.17,12.04,10.52,10.157,12.359,11.94
12.013,2020-02-29 21:02:50,10.098,10.17,12.039,10.519,10.156,12.358,11.94
12.012,2020-02-29 21:17:54,10.097,10.169,12.037,10.519,10.156,12.357,11.939
12.011,2020-02-29 21:32:57,10.097,10.17,12.037,10.519,10.155,12.356,11.94
12.01,2020-02-29 21:48:01,10.096,10.17,12.036,10.518,10.155,12.355,11.939
12.01,2020-02-29 22:03:05,10.096,10.17,12.034,10.518,10.155,12.353,11.939
12.009,2020-02-29 22:18:09,10.095,10.169,12.033,10.518,10.154,12.353,11.94
12.008,2020-02-29 22:33:13,10.094,10.169,12.031,10.517,10.153,12.351,11.939
12.007,2020-02-29 22:48:17,10.094,10.169,12.031,10.517,10.153,12.35,11.939
12.006,2020-02-29 23:03:21,10.093,10.168,12.029,10.517,10.153,12.348,11.938
12.006,2020-02-29 23:18:25,10.093,10.169,12.029,10.516,10.152,12.347,11.938
12.005,2020-02-29 23:33:29,10.092,10.169,12.027,10.516,10.152,12.346,11.938
12.004,2020-02-29 23:48:33,10.091,10.169,12.026,10.515,10.151,12.345,11.939
