scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.8985,9.226,8.855,8.8425,2020-01-25 00:00:28,8.8365,8.8295,9.114,10.287
9.8985,9.226,8.8555,8.8425,2020-01-25 00:15:31,8.8365,8.829,9.1145,10.288
9.898,9.226,8.855,8.8425,2020-01-25 00:30:35,8.836,8.829,9.114,10.287
9.898,9.226,8.855,8.842,2020-01-25 00:45:39,8.836,8.8295,9.114,10.287
9.898,9.226,8.855,8.842,2020-01-25 01:00:43,8.836,8.829,9.114,10.287
9.898,9.226,8.855,8.842,2020-01-25 01:15:47,8.836,8.8295,9.114,10.288
9.898,9.226,8.855,8.842,2020-01-25 01:30:51,8.836,8.8295,9.1145,10.287
9.9065,9.225,8.8535,8.8475,2020-01-25 01:45:55,8.8435,8.83,9.117,10.282
9.9205,9.224,8.851,8.864,2020-01-25 02:00:59,8.861,8.8345,9.1245,10.271
9.938,9.2235,8.8485,8.88,2020-01-25 02:16:03,8.8765,8.84,9.1305,10.27
9.9485,9.2235,8.8465,8.889,2020-01-25 02:31:06,8.885,8.8445,9.1335,10.273
9.9555,9.2235,8.8455,8.8945,2020-01-25 02:46:10,8.8895,8.8475,9.1355,10.27
9.96,9.2235,8.845,8.897,2020-01-25 03:01:14,8.892,8.8495,9.136,10.273
9.962,9.223,8.8445,8.899,2020-01-25 03:16:18,8.8935,8.851,9.1365,10.272
9.9635,9.223,8.8445,8.9,2020-01-25 03:31:22,8.8945,8.852,9.137,10.271
9.9645,9.2235,8.844,8.901,2020-01-25 03:46:26,8.895,8.8525,9.137,10.271
9.9655,9.2235,8.844,8.9015,2020-01-25 04:01:30,8.896,8.853,9.1375,10.271
9.9665,9.223,8.8445,8.9025,2020-01-25 04:16:34,8.897,8.854,9.1375,10.272
9.9675,9.2235,8.8445,8.9035,2020-01-25 04:31:38,8.898,8.854,9.138,10.271
9.968,9.2235,8.8445,8.904,2020-01-25 04:46:41,8.8985,8.8545,9.138,10.27
9.9685,9.2235,8.8445,8.9035,2020-01-25 05:01:45,8.898,8.8545,9.138,10.277
9.968,9.2235,8.8445,8.9035,2020-01-25 05:16:49,8.898,8.855,9.138,10.277
9.968,9.2235,8.845,8.903,2020-01-25 05:31:53,8.898,8.855,9.138,10.278
9.968,9.2235,8.845,8.9035,2020-01-25 05:46:57,8.898,8.855,9.138,10.278
9.968,9.2235,8.845,8.9035,2020-01-25 06:02:01,8.898,8.855,9.138,10.278
9.968,9.2235,8.845,8.9035,2020-01-25 06:17:05,8.898,8.855,9.138,10.278
9.968,9.2235,8.845,8.9035,2020-01-25 06:32:09,8.898,8.855,9.138,10.278
9.968,9.2235,8.8455,8.9035,2020-01-25 06:47:12,8.8985,8.855,9.138,10.279
9.968,9.224,8.8455,8.9035,2020-01-25 07:02:16,8.8985,8.855,9.138,10.279
9.968,9.224,8.8455,8.903,2020-01-25 07:17:20,8.8985,8.855,9.138,10.278
9.968,9.224,8.8455,8.9035,2020-01-25 07:32:24,8.8985,8.855,9.138,10.278
9.968,9.224,8.8455,8.9035,2020-01-25 07:47:28,8.8985,8.855,9.138,10.279
9.9675,9.224,8.8455,8.9035,2020-01-25 08:02:32,8.898,8.855,9.138,10.278
9.9665,9.224,8.846,8.9025,2020-01-25 08:17:36,8.897,8.855,9.1375,10.28
9.964,9.2245,8.8465,8.9,2020-01-25 08:32:40,8.8955,8.8545,9.1365,10.281
9.962,9.2245,8.847,8.898,2020-01-25 08:47:43,8.893,8.854,9.1355,10.282
9.959,9.2245,8.8475,8.895,2020-01-25 09:02:47,8.89,8.853,9.1345,10.284
9.956,9.2245,8.848,8.8925,2020-01-25 09:17:51,8.8875,8.852,9.1335,10.286
9.9535,9.2245,8.8485,8.891,2020-01-25 09:32:55,8.8855,8.8515,9.1325,10.288
9.9525,9.2245,8.8485,8.89,2020-01-25 09:47:59,8.8845,8.8505,9.1325,10.288
9.9515,9.2245,8.849,8.8895,2020-01-25 10:03:03,8.884,8.85,9.132,10.289
9.954,9.2245,8.849,8.891,2020-01-25 10:18:07,8.8865,8.8505,9.1335,10.288
9.9555,9.2245,8.8485,8.8915,2020-01-25 10:33:11,8.888,8.85,9.134,10.286
9.955,9.225,8.849,8.891,2020-01-25 10:48:15,8.8875,8.8505,9.1335,10.286
9.955,9.225,8.8485,8.892,2020-01-25 11:03:19,8.888,8.8505,9.134,10.286
9.9555,9.2245,8.8485,8.892,2020-01-25 11:18:22,8.888,8.851,9.134,10.286
9.955,9.225,8.849,8.8915,2020-01-25 11:33:26,8.8875,8.851,9.1335,10.287
9.955,9.2245,8.849,8.8915,2020-01-25 11:48:30,8.8875,8.851,9.1335,10.286
9.955,9.225,8.849,8.892,2020-01-25 12:03:34,8.8875,8.851,9.134,10.287
9.953,9.225,8.849,8.8905,2020-01-25 12:18:38,8.886,8.85,9.133,10.288
9.95,9.225,8.8495,8.8885,2020-01-25 12:33:42,8.8835,8.85,9.132,10.29
9.948,9.2255,8.85,8.8865,2020-01-25 12:48:46,8.881,8.849,9.131,10.292
9.9445,9.2255,8.851,8.8835,2020-01-25 13:03:50,8.878,8.848,9.13,10.294
9.9425,9.2255,8.851,8.88,2020-01-25 13:18:54,8.876,8.847,9.129,10.295
9.9425,9.226,8.8515,8.8805,2020-01-25 13:33:58,8.8765,8.847,9.1295,10.295
9.9425,9.2255,8.8515,8.8795,2020-01-25 13:49:01,8.8765,8.846,9.1295,10.294
9.9415,9.226,8.8515,8.88,2020-01-25 14:04:05,8.8765,8.846,9.1295,10.294
9.9405,9.226,8.8515,8.8795,2020-01-25 14:19:09,8.875,8.846,9.1285,10.295
9.939,9.226,8.8515,8.8785,2020-01-25 14:34:13,8.8735,8.8455,9.128,10.296
9.9385,9.226,8.852,8.878,2020-01-25 14:49:17,8.873,8.8455,9.128,10.297
9.9405,9.226,8.852,8.8795,2020-01-25 15:04:21,8.875,8.8455,9.129,10.296
9.94,9.226,8.8515,8.8785,2020-01-25 15:19:25,8.875,8.8455,9.129,10.296
9.939,9.226,8.8515,8.878,2020-01-25 15:34:29,8.874,8.845,9.1285,10.296
