scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
8.8975,8.9205,8.9785,8.959,8.898,9.289,9.4415,8.575,2020-02-03 23:11:49
8.8975,8.92,8.9785,8.959,8.898,9.2875,9.4415,8.575,2020-02-03 23:26:53
8.8975,8.92,8.9785,8.9585,8.8975,9.2865,9.4415,8.575,2020-02-03 23:41:57
8.8975,8.92,8.9785,8.958,8.8975,9.2865,9.441,8.575,2020-02-03 23:57:00
8.8975,8.9195,8.9785,8.958,8.8975,9.2865,9.441,8.575,2020-02-04 00:12:04
8.898,8.919,8.9785,8.958,8.897,9.2865,9.441,8.575,2020-02-04 00:27:08
8.8975,8.919,8.9785,8.958,8.8975,9.2865,9.441,8.575,2020-02-04 00:42:12
8.8975,8.9185,8.979,8.958,8.8975,9.2865,9.4415,8.575,2020-02-04 00:57:16
8.898,8.9195,8.979,8.9585,8.8975,9.2865,9.4415,8.5755,2020-02-04 01:12:20
8.898,8.92,8.9795,8.9585,8.8975,9.2865,9.4415,8.5755,2020-02-04 01:27:24
8.8975,8.919,8.9785,8.958,8.8975,9.284,9.4405,8.5745,2020-02-04 01:42:28
8.8965,8.918,8.978,8.957,8.897,9.279,9.4385,8.5735,2020-02-04 01:57:32
8.895,8.916,8.9765,8.9545,8.8965,9.272,9.436,8.572,2020-02-04 02:12:36
8.8935,8.913,8.9755,8.952,8.8955,9.263,9.432,8.57,2020-02-04 02:27:39
8.8925,8.9115,8.975,8.95,8.8945,9.2565,9.429,8.5685,2020-02-04 02:42:43
8.892,8.91,8.975,8.9485,8.894,9.252,9.428,8.568,2020-02-04 02:57:47
8.892,8.909,8.9745,8.948,8.8935,9.249,9.427,8.568,2020-02-04 03:12:51
8.892,8.909,8.9745,8.9475,8.893,9.248,9.427,8.568,2020-02-04 03:27:55
8.892,8.909,8.975,8.9475,8.893,9.247,9.427,8.568,2020-02-04 03:42:59
8.892,8.9085,8.975,8.9475,8.8925,9.2465,9.427,8.568,2020-02-04 03:58:03
8.892,8.909,8.9755,8.947,8.8925,9.2465,9.4275,8.568,2020-02-04 04:13:07
8.892,8.909,8.975,8.947,8.8925,9.2465,9.4275,8.568,2020-02-04 04:28:11
8.892,8.9085,8.9745,8.947,8.8925,9.246,9.427,8.568,2020-02-04 04:43:14
8.892,8.909,8.975,8.947,8.8925,9.2455,9.427,8.568,2020-02-04 04:58:18
8.892,8.9085,8.975,8.947,8.8925,9.246,9.427,8.568,2020-02-04 05:13:22
8.8915,8.908,8.975,8.947,8.892,9.2455,9.427,8.5675,2020-02-04 05:28:26
8.8915,8.9075,8.975,8.9465,8.8925,9.2435,9.4265,8.5675,2020-02-04 05:43:30
8.8905,8.9065,8.9735,8.9445,8.892,9.2385,9.424,8.566,2020-02-04 05:58:34
8.889,8.9045,8.972,8.9425,8.891,9.231,9.421,8.564,2020-02-04 06:13:38
8.8875,8.903,8.9715,8.9395,8.89,9.2225,9.417,8.562,2020-02-04 06:28:42
8.8865,8.9005,8.9705,8.937,8.889,9.215,9.414,8.561,2020-02-04 06:43:46
8.886,8.899,8.97,8.936,8.888,9.2105,9.413,8.5605,2020-02-04 06:58:49
8.8855,8.8975,8.9705,8.9355,8.8875,9.2075,9.412,8.56,2020-02-04 07:13:53
8.8855,8.8975,8.9705,8.935,8.8875,9.206,9.412,8.56,2020-02-04 07:28:57
8.886,8.8965,8.9705,8.935,8.887,9.205,9.4115,8.56,2020-02-04 07:44:01
8.8855,8.897,8.9705,8.935,8.887,9.205,9.412,8.56,2020-02-04 07:59:05
8.8855,8.897,8.971,8.935,8.8865,9.2045,9.412,8.56,2020-02-04 08:14:09
8.8855,8.8965,8.9705,8.935,8.8865,9.2045,9.412,8.56,2020-02-04 08:29:13
8.8855,8.8965,8.9705,8.9345,8.8865,9.204,9.412,8.56,2020-02-04 08:44:17
8.8855,8.896,8.9705,8.9345,8.8865,9.203,9.412,8.56,2020-02-04 08:59:21
8.8855,8.8965,8.9705,8.9345,8.8865,9.2025,9.4115,8.56,2020-02-04 09:14:24
8.8855,8.895,8.9705,8.9345,8.8865,9.2025,9.4115,8.56,2020-02-04 09:29:28
8.885,8.895,8.97,8.9335,8.886,9.2,9.41,8.5595,2020-02-04 09:44:32
8.8835,8.893,8.969,8.932,8.8855,9.194,9.4075,8.558,2020-02-04 09:59:36
8.8825,8.892,8.9675,8.93,8.8845,9.187,9.4045,8.556,2020-02-04 10:14:40
