scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.9095,9.2285,8.855,8.8535,2020-01-26 00:06:40,8.8465,8.835,9.12,10.296
9.909,9.2285,8.855,8.8535,2020-01-26 00:21:44,8.846,8.8345,9.12,10.295
9.9075,9.2285,8.855,8.852,2020-01-26 00:36:48,8.845,8.8345,9.1195,10.295
9.9055,9.229,8.8555,8.8495,2020-01-26 00:51:52,8.8425,8.834,9.1185,10.297
9.904,9.229,8.856,8.8465,2020-01-26 01:06:56,8.8405,8.8325,9.1175,10.29
9.9025,9.229,8.856,8.845,2020-01-26 01:22:00,8.839,8.832,9.1175,10.292
9.901,9.229,8.8565,8.844,2020-01-26 01:37:04,8.838,8.8315,9.117,10.292
9.9005,9.229,8.8565,8.844,2020-01-26 01:52:08,8.838,8.831,9.117,10.292
9.9,9.229,8.8565,8.8435,2020-01-26 02:07:12,8.8375,8.831,9.117,10.292
9.8995,9.229,8.856,8.8435,2020-01-26 02:22:15,8.8375,8.83,9.117,10.292
9.8995,9.229,8.856,8.8435,2020-01-26 02:37:19,8.8375,8.8305,9.117,10.292
9.899,9.229,8.856,8.8435,2020-01-26 02:52:23,8.837,8.8305,9.117,10.292
9.899,9.229,8.856,8.8435,2020-01-26 03:07:27,8.837,8.831,9.117,10.292
9.8995,9.229,8.856,8.8435,2020-01-26 03:22:31,8.837,8.83,9.117,10.292
9.899,9.229,8.856,8.8435,2020-01-26 03:37:35,8.837,8.83,9.117,10.292
9.899,9.229,8.856,8.843,2020-01-26 03:52:39,8.837,8.8305,9.117,10.292
9.9025,9.2285,8.8555,8.8435,2020-01-26 04:07:43,8.839,8.83,9.1175,10.29
9.913,9.2275,8.8535,8.855,2020-01-26 04:22:47,8.852,8.833,9.123,10.283
9.93,9.227,8.8505,8.873,2020-01-26 04:37:50,8.87,8.8385,9.1305,10.272
9.944,9.2265,8.8485,8.8855,2020-01-26 04:52:54,8.882,8.8435,9.135,10.271
9.953,9.2265,8.847,8.8925,2020-01-26 05:07:58,8.889,8.847,9.1375,10.271
9.9585,9.2265,8.846,8.8965,2020-01-26 05:23:02,8.8925,8.8495,9.1385,10.274
9.962,9.2265,8.8455,8.899,2020-01-26 05:38:06,8.8945,8.8515,9.139,10.272
9.964,9.2265,8.8455,8.9005,2020-01-26 05:53:10,8.8955,8.8525,9.1395,10.271
9.965,9.2265,8.845,8.9015,2020-01-26 06:08:14,8.8965,8.8535,9.14,10.271
9.966,9.2265,8.845,8.902,2020-01-26 06:23:18,8.897,8.854,9.14,10.27
9.9665,9.2265,8.845,8.903,2020-01-26 06:38:22,8.898,8.8545,9.1405,10.27
9.9675,9.2265,8.845,8.9035,2020-01-26 06:53:26,8.8985,8.855,9.1405,10.27
9.9685,9.2265,8.845,8.9045,2020-01-26 07:08:29,8.8995,8.8555,9.141,10.277
9.969,9.2265,8.845,8.905,2020-01-26 07:23:33,8.9,8.856,9.1415,10.277
9.969,9.227,8.8455,8.905,2020-01-26 07:38:37,8.9,8.856,9.141,10.277
9.969,9.227,8.8455,8.9045,2020-01-26 07:53:41,8.9,8.8565,9.141,10.278
9.969,9.227,8.8455,8.9045,2020-01-26 08:08:45,8.9,8.8565,9.141,10.278
9.9685,9.227,8.846,8.9045,2020-01-26 08:23:49,8.9,8.8565,9.1415,10.278
9.9685,9.227,8.846,8.9045,2020-01-26 08:38:53,8.9,8.8565,9.141,10.279
9.9685,9.227,8.846,8.9045,2020-01-26 08:53:57,8.9,8.8565,9.141,10.279
9.9685,9.227,8.846,8.904,2020-01-26 09:09:01,8.9,8.8565,9.141,10.279
9.9685,9.227,8.8465,8.9045,2020-01-26 09:24:05,8.9,8.8565,9.141,10.279
9.969,9.227,8.8465,8.9045,2020-01-26 09:39:08,8.9,8.857,9.141,10.279
9.969,9.227,8.8465,8.9045,2020-01-26 09:54:12,8.9,8.8565,9.1415,10.279
9.9685,9.227,8.8465,8.9045,2020-01-26 10:09:16,8.9005,8.857,9.1415,10.279
9.9685,9.227,8.8465,8.9045,2020-01-26 10:24:20,8.9005,8.857,9.141,10.279
9.9685,9.227,8.847,8.904,2020-01-26 10:39:24,8.9,8.857,9.141,10.279
9.967,9.2275,8.847,8.9025,2020-01-26 10:54:28,8.8985,8.8565,9.1405,10.28
9.9655,9.2275,8.8475,8.9,2020-01-26 11:09:32,8.8965,8.856,9.1395,10.282
9.963,9.228,8.8485,8.897,2020-01-26 11:24:36,8.894,8.855,9.1385,10.284
9.9605,9.228,8.849,8.8945,2020-01-26 11:39:40,8.892,8.854,9.1375,10.286
9.9585,9.228,8.849,8.8935,2020-01-26 11:54:44,8.89,8.853,9.137,10.286
9.957,9.228,8.8495,8.893,2020-01-26 12:09:47,8.89,8.853,9.1365,10.286
9.9565,9.228,8.8495,8.8925,2020-01-26 12:24:51,8.8895,8.8525,9.1365,10.287
9.956,9.228,8.8495,8.892,2020-01-26 12:39:55,8.889,8.8525,9.1365,10.287
9.956,9.228,8.85,8.892,2020-01-26 12:54:59,8.889,8.8525,9.1365,10.287
9.956,9.228,8.85,8.8925,2020-01-26 13:10:03,8.889,8.8515,9.1365,10.287
9.956,9.228,8.8495,8.892,2020-01-26 13:25:07,8.889,8.852,9.1365,10.287
9.956,9.228,8.85,8.8925,2020-01-26 13:40:11,8.889,8.8525,9.1365,10.287
9.956,9.228,8.85,8.8925,2020-01-26 13:55:15,8.889,8.852,9.1365,10.287
9.956,9.228,8.85,8.8925,2020-01-26 14:10:19,8.889,8.852,9.1365,10.287
9.956,9.228,8.85,8.8925,2020-01-26 14:25:23,8.889,8.852,9.1365,10.287
9.955,9.2285,8.85,8.892,2020-01-26 14:40:26,8.8885,8.852,9.1365,10.288
9.953,9.2285,8.8505,8.8895,2020-01-26 14:55:30,8.886,8.851,9.1355,10.289
9.9495,9.2285,8.8505,8.887,2020-01-26 15:10:34,8.884,8.8505,9.134,10.291
9.9485,9.229,8.851,8.8855,2020-01-26 15:25:38,8.8825,8.85,9.1335,10.292
9.9445,9.229,8.852,8.8825,2020-01-26 15:40:42,8.8795,8.8485,9.132,10.295
9.9455,9.229,8.852,8.882,2020-01-26 15:55:46,8.88,8.8485,9.133,10.295
9.9445,9.229,8.852,8.8815,2020-01-26 16:10:50,8.8795,8.848,9.1325,10.295
9.9445,9.229,8.852,8.8815,2020-01-26 16:25:54,8.879,8.848,9.133,10.294
9.9435,9.229,8.8525,8.881,2020-01-26 16:40:57,8.8785,8.8475,9.1325,10.295
9.943,9.229,8.852,8.881,2020-01-26 16:56:01,8.878,8.8475,9.1325,10.295
9.9425,9.229,8.8525,8.881,2020-01-26 17:11:05,8.8775,8.8475,9.132,10.296
9.9425,9.229,8.852,8.881,2020-01-26 17:26:09,8.8775,8.8475,9.132,10.295
9.942,9.229,8.852,8.881,2020-01-26 17:41:13,8.8775,8.8475,9.132,10.296
9.9415,9.229,8.852,8.8805,2020-01-26 17:56:17,8.8765,8.847,9.132,10.296
9.94,9.229,8.8525,8.88,2020-01-26 18:11:21,8.8755,8.847,9.1315,10.296
9.9385,9.229,8.8525,8.879,2020-01-26 18:26:25,8.8745,8.8465,9.131,10.297
9.941,9.2295,8.8525,8.8795,2020-01-26 18:41:28,8.876,8.8465,9.132,10.296
9.9395,9.2295,8.8525,8.8775,2020-01-26 18:56:32,8.875,8.8465,9.131,10.296
9.936,9.2295,8.853,8.876,2020-01-26 19:11:36,8.872,8.846,9.13,10.298
9.935,9.23,8.8535,8.873,2020-01-26 19:26:40,8.8705,8.845,9.1295,10.3
9.9335,9.23,8.854,8.8715,2020-01-26 19:41:44,8.8685,8.844,9.129,10.295
9.931,9.23,8.854,8.869,2020-01-26 19:56:48,8.867,8.843,9.128,10.296
9.929,9.23,8.854,8.869,2020-01-26 20:11:52,8.8655,8.843,9.1275,10.298
9.9285,9.23,8.8545,8.869,2020-01-26 20:26:56,8.8655,8.8425,9.1275,10.298
9.927,9.23,8.8545,8.8675,2020-01-26 20:42:00,8.8645,8.842,9.127,10.299
9.926,9.23,8.8545,8.8675,2020-01-26 20:57:03,8.863,8.842,9.1265,10.299
9.925,9.23,8.8545,8.8675,2020-01-26 21:12:07,8.862,8.8415,9.126,10.299
9.9245,9.23,8.8545,8.867,2020-01-26 21:27:11,8.8615,8.8415,9.126,10.299
9.924,9.23,8.854,8.8675,2020-01-26 21:42:15,8.861,8.841,9.126,10.299
9.9235,9.23,8.8545,8.867,2020-01-26 21:57:19,8.8605,8.841,9.126,10.299
9.9235,9.23,8.854,8.867,2020-01-26 22:12:23,8.86,8.841,9.126,10.299
9.923,9.2305,8.8545,8.867,2020-01-26 22:27:27,8.86,8.841,9.126,10.3
9.922,9.2305,8.8545,8.866,2020-01-26 22:42:31,8.859,8.841,9.1255,10.301
9.9205,9.2305,8.8545,8.8645,2020-01-26 22:57:35,8.8575,8.841,9.1255,10.302
9.9195,9.2305,8.8545,8.863,2020-01-26 23:12:39,8.856,8.8405,9.125,10.294
9.918,9.2305,8.855,8.862,2020-01-26 23:27:42,8.8545,8.8395,9.125,10.296
9.916,9.231,8.855,8.859,2020-01-26 23:42:46,8.8525,8.838,9.124,10.296
9.9145,9.231,8.8555,8.8575,2020-01-26 23:57:50,8.8515,8.838,9.1235,10.298
