scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
9.933,11.503,11.919,10.02,11.56,11.82,13.084,11.108,2020-03-01 00:03:31
9.9325,11.498,11.917,10.019,11.559,11.819,13.083,11.107,2020-03-01 00:18:35
9.932,11.494,11.915,10.019,11.559,11.819,13.082,11.106,2020-03-01 00:33:39
9.9315,11.489,11.913,10.018,11.558,11.818,13.082,11.106,2020-03-01 00:48:43
9.931,11.485,11.911,10.018,11.558,11.818,13.082,11.105,2020-03-01 01:03:47
9.9305,11.481,11.908,10.017,11.558,11.818,13.081,11.104,2020-03-01 01:18:51
9.9305,11.477,11.906,10.017,11.557,11.817,13.08,11.103,2020-03-01 01:33:54
9.93,11.472,11.904,10.017,11.557,11.817,13.079,11.102,2020-03-01 01:48:58
9.9295,11.468,11.902,10.016,11.556,11.817,13.078,11.101,2020-03-01 02:04:02
9.9295,11.464,11.9,10.016,11.556,11.817,13.078,11.101,2020-03-01 02:19:06
9.929,11.46,11.898,10.015,11.555,11.817,13.077,11.1,2020-03-01 02:34:10
9.928,11.455,11.895,10.015,11.555,11.815,13.075,11.099,2020-03-01 02:49:14
9.928,11.451,11.893,10.014,11.554,11.814,13.075,11.098,2020-03-01 03:04:18
9.928,11.448,11.891,10.014,11.554,11.816,13.075,11.097,2020-03-01 03:19:22
9.9305,11.452,11.893,10.017,11.556,11.829,13.083,11.1,2020-03-01 03:34:25
9.934,11.454,11.895,10.023,11.558,11.849,13.093,11.105,2020-03-01 03:49:29
9.9355,11.457,11.895,10.026,11.56,11.861,13.095,11.106,2020-03-01 04:04:33
9.936,11.458,11.894,10.027,11.561,11.865,13.095,11.105,2020-03-01 04:19:37
9.936,11.458,11.893,10.028,11.561,11.867,13.094,11.104,2020-03-01 04:34:41
9.936,11.458,11.893,10.029,11.562,11.869,13.095,11.104,2020-03-01 04:49:45
9.9355,11.458,11.892,10.03,11.562,11.87,13.095,11.104,2020-03-01 05:04:49
9.935,11.456,11.892,10.03,11.562,11.872,13.095,11.104,2020-03-01 05:19:53
9.935,11.455,11.891,10.03,11.562,11.873,13.095,11.104,2020-03-01 05:34:57
9.9345,11.456,11.891,10.031,11.562,11.874,13.094,11.103,2020-03-01 05:50:01
9.934,11.455,11.891,10.031,11.562,11.875,13.094,11.103,2020-03-01 06:05:05
9.934,11.456,11.89,10.031,11.562,11.876,13.095,11.103,2020-03-01 06:20:08
9.934,11.455,11.89,10.031,11.562,11.876,13.094,11.102,2020-03-01 06:35:12
9.9335,11.455,11.889,10.03,11.561,11.876,13.094,11.101,2020-03-01 06:50:16
9.9335,11.454,11.889,10.03,11.561,11.877,13.094,11.101,2020-03-01 07:05:20
9.933,11.453,11.888,10.03,11.561,11.876,13.093,11.1,2020-03-01 07:20:24
9.9325,11.453,11.887,10.029,11.561,11.877,13.093,11.1,2020-03-01 07:35:28
9.9325,11.451,11.887,10.029,11.561,11.877,13.093,11.1,2020-03-01 07:50:32
9.9325,11.451,11.886,10.029,11.561,11.877,13.093,11.099,2020-03-01 08:05:36
9.932,11.449,11.886,10.029,11.56,11.878,13.093,11.099,2020-03-01 08:20:40
9.932,11.449,11.885,10.029,11.56,11.877,13.092,11.098,2020-03-01 08:35:43
9.9315,11.448,11.885,10.029,11.56,11.877,13.092,11.097,2020-03-01 08:50:47
9.931,11.449,11.884,10.028,11.56,11.877,13.091,11.097,2020-03-01 09:05:51
9.9315,11.448,11.884,10.028,11.559,11.877,13.091,11.096,2020-03-01 09:20:55
9.931,11.447,11.883,10.028,11.559,11.877,13.091,11.096,2020-03-01 09:35:59
9.9305,11.446,11.882,10.028,11.559,11.877,13.09,11.095,2020-03-01 09:51:03
9.9305,11.445,11.882,10.027,11.558,11.876,13.09,11.094,2020-03-01 10:06:07
9.9305,11.444,11.881,10.027,11.558,11.876,13.09,11.094,2020-03-01 10:21:11
9.93,11.442,11.881,10.027,11.558,11.875,13.089,11.093,2020-03-01 10:36:14
9.9295,11.442,11.88,10.027,11.557,11.875,13.088,11.093,2020-03-01 10:51:18
9.93,11.441,11.879,10.026,11.557,11.875,13.088,11.093,2020-03-01 11:06:22
9.93,11.442,11.879,10.027,11.557,11.875,13.089,11.092,2020-03-01 11:21:26
9.9305,11.439,11.877,10.026,11.557,11.874,13.087,11.091,2020-03-01 11:36:30
9.929,11.433,11.875,10.024,11.555,11.868,13.082,11.088,2020-03-01 11:51:34
9.927,11.427,11.871,10.021,11.554,11.859,13.077,11.086,2020-03-01 12:06:38
9.9255,11.42,11.868,10.018,11.552,11.85,13.072,11.083,2020-03-01 12:21:42
9.924,11.414,11.866,10.015,11.55,11.842,13.069,11.081,2020-03-01 12:36:46
9.9225,11.407,11.863,10.013,11.549,11.835,13.066,11.079,2020-03-01 12:51:50
9.9215,11.401,11.86,10.011,11.547,11.829,13.063,11.077,2020-03-01 13:06:53
9.9205,11.395,11.857,10.009,11.546,11.824,13.061,11.076,2020-03-01 13:21:57
9.9195,11.389,11.855,10.008,11.545,11.82,13.059,11.074,2020-03-01 13:37:01
9.9195,11.384,11.853,10.008,11.544,11.818,13.058,11.074,2020-03-01 13:52:05
9.919,11.379,11.85,10.007,11.544,11.817,13.058,11.073,2020-03-01 14:07:09
9.918,11.373,11.847,10.006,11.543,11.815,13.056,11.071,2020-03-01 14:22:13
9.9175,11.368,11.845,10.005,11.542,11.812,13.054,11.07,2020-03-01 14:37:17
9.917,11.363,11.842,10.004,11.541,11.809,13.053,11.069,2020-03-01 14:52:21
9.916,11.357,11.839,10.003,11.541,11.807,13.051,11.068,2020-03-01 15:07:25
9.9155,11.352,11.837,10.002,11.54,11.805,13.05,11.067,2020-03-01 15:22:28
9.9145,11.347,11.835,10.001,11.539,11.804,13.049,11.066,2020-03-01 15:37:32
9.9145,11.341,11.832,10.0,11.539,11.803,13.05,11.065,2020-03-01 15:52:36
9.914,11.336,11.83,10.0,11.539,11.803,13.051,11.064,2020-03-01 16:07:40
9.914,11.331,11.827,10.0,11.538,11.802,13.049,11.063,2020-03-01 16:22:44
9.913,11.326,11.825,9.999,11.538,11.801,13.047,11.062,2020-03-01 16:37:48
9.9135,11.322,11.823,9.999,11.538,11.802,13.047,11.062,2020-03-01 16:52:52
9.913,11.316,11.821,9.999,11.537,11.803,13.047,11.062,2020-03-01 17:07:56
9.9125,11.312,11.818,9.999,11.537,11.802,13.045,11.061,2020-03-01 17:22:59
9.912,11.307,11.815,9.998,11.537,11.802,13.044,11.06,2020-03-01 17:38:03
9.912,11.301,11.813,9.998,11.536,11.802,13.044,11.059,2020-03-01 17:53:07
9.9115,11.295,11.81,9.997,11.536,11.8,13.043,11.057,2020-03-01 18:08:11
