scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
9.911,11.29,11.807,9.996,11.535,11.799,13.042,11.056,2020-03-01 18:23:15
9.911,11.285,11.805,9.9955,11.535,11.798,13.041,11.055,2020-03-01 18:38:19
9.91,11.28,11.802,9.995,11.534,11.796,13.039,11.054,2020-03-01 18:53:23
9.91,11.274,11.8,9.9945,11.534,11.795,13.039,11.053,2020-03-01 19:08:27
9.9095,11.269,11.797,9.994,11.533,11.795,13.039,11.053,2020-03-01 19:23:31
9.9095,11.265,11.795,9.994,11.533,11.795,13.04,11.052,2020-03-01 19:38:35
9.909,11.259,11.792,9.9935,11.533,11.795,13.039,11.051,2020-03-01 19:53:38
9.909,11.254,11.79,9.993,11.533,11.794,13.038,11.05,2020-03-01 20:08:42
9.9085,11.248,11.787,9.9925,11.532,11.793,13.037,11.049,2020-03-01 20:23:46
9.9075,11.243,11.785,9.9915,11.532,11.792,13.036,11.048,2020-03-01 20:38:50
9.907,11.238,11.782,9.991,11.531,11.791,13.035,11.047,2020-03-01 20:53:54
9.9065,11.232,11.779,9.9905,11.531,11.79,13.033,11.046,2020-03-01 21:08:58
9.906,11.227,11.777,9.9895,11.53,11.789,13.032,11.045,2020-03-01 21:24:02
9.906,11.222,11.774,9.9895,11.53,11.789,13.032,11.045,2020-03-01 21:39:06
9.906,11.217,11.772,9.989,11.529,11.788,13.031,11.043,2020-03-01 21:54:10
9.905,11.212,11.77,9.9885,11.529,11.787,13.03,11.042,2020-03-01 22:09:14
9.905,11.207,11.767,9.9875,11.529,11.786,13.032,11.042,2020-03-01 22:24:17
9.904,11.201,11.764,9.987,11.528,11.785,13.031,11.041,2020-03-01 22:39:21
9.9035,11.196,11.761,9.986,11.528,11.784,13.029,11.039,2020-03-01 22:54:25
9.903,11.19,11.759,9.9855,11.527,11.783,13.028,11.039,2020-03-01 23:09:29
9.903,11.186,11.757,9.985,11.527,11.783,13.028,11.038,2020-03-01 23:24:33
9.9025,11.18,11.754,9.9845,11.526,11.783,13.027,11.037,2020-03-01 23:39:37
9.902,11.176,11.752,9.9845,11.526,11.782,13.025,11.036,2020-03-01 23:54:41
