scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
9.9015,11.17,11.749,9.984,11.526,11.782,13.024,11.035,2020-03-02 00:09:45
9.9015,11.166,11.747,9.983,11.525,11.781,13.022,11.034,2020-03-02 00:24:49
9.901,11.16,11.744,9.9825,11.524,11.779,13.021,11.033,2020-03-02 00:39:53
9.9005,11.155,11.742,9.982,11.524,11.778,13.019,11.032,2020-03-02 00:54:57
9.9,11.15,11.739,9.981,11.523,11.777,13.019,11.031,2020-03-02 01:10:00
9.8995,11.145,11.737,9.981,11.523,11.776,13.02,11.03,2020-03-02 01:25:04
9.899,11.14,11.734,9.98,11.522,11.775,13.018,11.029,2020-03-02 01:40:08
9.8985,11.135,11.732,9.98,11.522,11.774,13.017,11.028,2020-03-02 01:55:12
9.898,11.13,11.729,9.979,11.521,11.773,13.016,11.027,2020-03-02 02:10:16
9.898,11.125,11.727,9.9785,11.521,11.773,13.015,11.026,2020-03-02 02:25:20
9.8975,11.121,11.725,9.978,11.52,11.773,13.014,11.025,2020-03-02 02:40:24
9.8975,11.116,11.722,9.978,11.52,11.773,13.014,11.025,2020-03-02 02:55:28
9.897,11.111,11.719,9.9775,11.52,11.772,13.013,11.023,2020-03-02 03:10:32
9.8975,11.111,11.719,9.9775,11.52,11.775,13.015,11.024,2020-03-02 03:25:35
9.901,11.115,11.721,9.9825,11.522,11.792,13.024,11.028,2020-03-02 03:40:39
9.9035,11.118,11.722,9.9875,11.525,11.81,13.031,11.032,2020-03-02 03:55:43
9.904,11.119,11.722,9.99,11.526,11.819,13.032,11.032,2020-03-02 04:10:47
9.9045,11.12,11.721,9.991,11.526,11.823,13.031,11.031,2020-03-02 04:25:51
9.9045,11.119,11.72,9.992,11.527,11.826,13.032,11.031,2020-03-02 04:40:55
9.904,11.12,11.719,9.993,11.527,11.828,13.032,11.031,2020-03-02 04:55:59
9.904,11.118,11.719,9.994,11.527,11.83,13.033,11.031,2020-03-02 05:11:03
9.9035,11.117,11.718,9.9945,11.527,11.831,13.033,11.031,2020-03-02 05:26:07
9.903,11.118,11.718,9.995,11.527,11.833,13.033,11.03,2020-03-02 05:41:11
9.9025,11.118,11.717,9.995,11.527,11.834,13.033,11.03,2020-03-02 05:56:14
9.9025,11.117,11.717,9.995,11.527,11.833,13.032,11.029,2020-03-02 06:11:18
9.902,11.116,11.716,9.9945,11.527,11.833,13.031,11.029,2020-03-02 06:26:22
9.9015,11.114,11.715,9.9945,11.527,11.833,13.03,11.028,2020-03-02 06:41:26
