scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.944,9.2095,8.8445,8.885,2020-01-21 00:05:40,8.874,8.843,9.1175,10.279
9.9435,9.2095,8.8445,8.8845,2020-01-21 00:20:44,8.874,8.8435,9.1175,10.279
9.944,9.21,8.8445,8.8845,2020-01-21 00:35:48,8.874,8.843,9.1175,10.28
9.9435,9.21,8.845,8.8845,2020-01-21 00:50:51,8.874,8.843,9.1175,10.28
9.9435,9.21,8.845,8.884,2020-01-21 01:05:55,8.8735,8.843,9.1175,10.28
9.943,9.21,8.845,8.884,2020-01-21 01:20:59,8.8735,8.8425,9.118,10.28
9.9435,9.21,8.845,8.884,2020-01-21 01:36:03,8.8735,8.843,9.118,10.279
9.9435,9.21,8.845,8.884,2020-01-21 01:51:07,8.874,8.8425,9.118,10.28
9.943,9.21,8.845,8.884,2020-01-21 02:06:11,8.8735,8.8425,9.118,10.28
9.941,9.21,8.845,8.883,2020-01-21 02:21:15,8.872,8.8425,9.117,10.281
9.9395,9.2105,8.8455,8.8815,2020-01-21 02:36:19,8.8705,8.842,9.1165,10.282
9.9375,9.2105,8.846,8.8795,2020-01-21 02:51:23,8.8685,8.841,9.1155,10.284
9.935,9.2105,8.8465,8.8775,2020-01-21 03:06:27,8.866,8.84,9.115,10.285
9.933,9.211,8.8465,8.876,2020-01-21 03:21:30,8.8645,8.84,9.1145,10.286
9.932,9.211,8.847,8.8745,2020-01-21 03:36:34,8.864,8.839,9.1145,10.287
9.9315,9.211,8.847,8.874,2020-01-21 03:51:38,8.863,8.839,9.1145,10.287
9.931,9.211,8.847,8.8735,2020-01-21 04:06:42,8.863,8.839,9.1145,10.288
9.9305,9.211,8.8475,8.8735,2020-01-21 04:21:46,8.863,8.8385,9.1145,10.287
9.9305,9.211,8.847,8.8735,2020-01-21 04:36:50,8.863,8.8385,9.1145,10.287
9.9305,9.211,8.847,8.873,2020-01-21 04:51:54,8.8625,8.838,9.1145,10.287
9.9305,9.211,8.8475,8.8735,2020-01-21 05:06:58,8.863,8.8385,9.1145,10.287
9.9305,9.211,8.8475,8.8735,2020-01-21 05:22:02,8.8625,8.8385,9.1145,10.288
9.93,9.211,8.8475,8.8735,2020-01-21 05:37:06,8.8625,8.838,9.1145,10.287
9.93,9.211,8.847,8.873,2020-01-21 05:52:09,8.8625,8.838,9.1145,10.287
9.9295,9.2115,8.8475,8.873,2020-01-21 06:07:13,8.862,8.838,9.114,10.287
9.9285,9.2115,8.8475,8.872,2020-01-21 06:22:17,8.861,8.838,9.1135,10.289
9.927,9.2115,8.8475,8.871,2020-01-21 06:37:21,8.86,8.838,9.1135,10.289
9.9265,9.2115,8.848,8.8695,2020-01-21 06:52:25,8.8585,8.8365,9.113,10.283
9.9245,9.212,8.8485,8.867,2020-01-21 07:07:29,8.8565,8.836,9.1125,10.284
9.923,9.212,8.8485,8.8655,2020-01-21 07:22:33,8.855,8.8365,9.112,10.286
9.9215,9.212,8.8485,8.864,2020-01-21 07:37:37,8.854,8.8355,9.1115,10.286
