1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000694EC541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:58:01 CET 2020
Mission Sample Count:  1020
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:58:01 CET 2020
Total Mission Samples:  1020
Total Device Samples:  13776
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 12:58:01,C,25,107
26/02/20 13:08:01,C,22,107
26/02/20 13:18:01,C,21,606
26/02/20 13:28:01,C,23,107
26/02/20 13:38:01,C,23,607
26/02/20 13:48:01,C,24,107
26/02/20 13:58:01,C,24,607
26/02/20 14:08:01,C,24,607
26/02/20 14:18:01,C,24,607
26/02/20 14:28:01,C,24,607
26/02/20 14:38:01,C,24,607
26/02/20 14:48:01,C,24,607
26/02/20 14:58:01,C,24,607
26/02/20 15:08:01,C,24,607
26/02/20 15:18:01,C,24,107
26/02/20 15:28:01,C,24,107
26/02/20 15:38:01,C,24,107
26/02/20 15:48:01,C,24,107
26/02/20 15:58:01,C,24,107
26/02/20 16:08:01,C,24,607
26/02/20 16:18:01,C,25,107
26/02/20 16:28:01,C,25,107
26/02/20 16:38:01,C,25,107
26/02/20 16:48:01,C,25,607
26/02/20 16:58:01,C,26,107
26/02/20 17:08:01,C,26,107
26/02/20 17:18:01,C,26,107
26/02/20 17:28:01,C,26,607
26/02/20 17:38:01,C,26,607
26/02/20 17:48:01,C,26,607
26/02/20 17:58:01,C,26,607
26/02/20 18:08:01,C,26,607
26/02/20 18:18:01,C,26,607
26/02/20 18:28:01,C,26,607
26/02/20 18:38:01,C,26,607
26/02/20 18:48:01,C,26,607
26/02/20 18:58:01,C,26,607
26/02/20 19:08:01,C,26,607
26/02/20 19:18:01,C,26,607
26/02/20 19:28:01,C,26,607
26/02/20 19:38:01,C,26,607
26/02/20 19:48:01,C,26,607
