1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0D000000694EE941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:55:01 CET 2020
Mission Sample Count:  1017
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:55:01 CET 2020
Total Mission Samples:  1017
Total Device Samples:  13777
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/02/20 10:45:01,%RH,88,732
28/02/20 10:55:01,%RH,87,652
28/02/20 11:05:01,%RH,87,11
28/02/20 11:15:01,%RH,87,652
28/02/20 11:25:01,%RH,88,192
28/02/20 11:35:01,%RH,89,269
28/02/20 11:45:01,%RH,84,929
28/02/20 11:55:01,%RH,73,697
28/02/20 12:05:01,%RH,87,652
28/02/20 12:15:01,%RH,88,192
28/02/20 12:25:01,%RH,89,269
28/02/20 12:35:01,%RH,88,192
28/02/20 12:45:01,%RH,89,806
28/02/20 12:55:01,%RH,86,023
28/02/20 13:05:01,%RH,84,929
28/02/20 13:15:01,%RH,85,477
28/02/20 13:25:01,%RH,88,192
28/02/20 13:35:01,%RH,84,381
28/02/20 13:45:01,%RH,87,11
28/02/20 13:55:01,%RH,88,192
28/02/20 14:05:01,%RH,87,652
28/02/20 14:15:01,%RH,87,652
28/02/20 14:25:01,%RH,88,192
28/02/20 14:35:01,%RH,86,023
28/02/20 14:45:01,%RH,86,567
28/02/20 14:55:01,%RH,85,477
28/02/20 15:05:01,%RH,86,567
28/02/20 15:15:01,%RH,86,567
28/02/20 15:25:01,%RH,88,192
28/02/20 15:35:01,%RH,89,269
28/02/20 15:45:01,%RH,84,929
28/02/20 15:55:01,%RH,88,732
28/02/20 16:05:01,%RH,87,11
28/02/20 16:15:01,%RH,88,192
28/02/20 16:25:01,%RH,86,567
28/02/20 16:35:01,%RH,88,732
28/02/20 16:45:01,%RH,84,929
28/02/20 16:55:01,%RH,85,477
28/02/20 17:05:01,%RH,88,192
28/02/20 17:15:01,%RH,88,192
28/02/20 17:25:01,%RH,88,192
28/02/20 17:35:01,%RH,88,732
28/02/20 17:45:01,%RH,88,732
28/02/20 17:55:01,%RH,89,806
28/02/20 18:05:01,%RH,86,567
28/02/20 18:15:01,%RH,87,652
28/02/20 18:25:01,%RH,86,567
28/02/20 18:35:01,%RH,87,11
28/02/20 18:45:01,%RH,89,269
28/02/20 18:55:01,%RH,85,477
28/02/20 19:05:01,%RH,86,023
28/02/20 19:15:01,%RH,85,477
28/02/20 19:25:01,%RH,86,567
28/02/20 19:35:01,%RH,88,732
28/02/20 19:45:01,%RH,86,023
28/02/20 19:55:01,%RH,86,567
