1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000004477E041
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:59:01 CET 2020
Mission Sample Count:  1016
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:59:01 CET 2020
Total Mission Samples:  1016
Total Device Samples:  69018
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/02/20 19:49:01,%RH,71,094
27/02/20 19:59:01,%RH,68,217
27/02/20 20:09:01,%RH,69,372
27/02/20 20:19:01,%RH,69,947
27/02/20 20:29:01,%RH,69,372
27/02/20 20:39:01,%RH,68,795
27/02/20 20:49:01,%RH,71,094
27/02/20 20:59:01,%RH,69,947
27/02/20 21:09:01,%RH,69,947
27/02/20 21:19:01,%RH,72,235
27/02/20 21:29:01,%RH,71,665
27/02/20 21:39:01,%RH,71,094
27/02/20 21:49:01,%RH,69,947
27/02/20 21:59:01,%RH,70,521
27/02/20 22:09:01,%RH,71,665
27/02/20 22:19:01,%RH,72,235
27/02/20 22:29:01,%RH,72,804
27/02/20 22:39:01,%RH,71,094
27/02/20 22:49:01,%RH,69,372
27/02/20 22:59:01,%RH,67,056
27/02/20 23:09:01,%RH,69,372
27/02/20 23:19:01,%RH,67,056
27/02/20 23:29:01,%RH,70,521
27/02/20 23:39:01,%RH,70,521
27/02/20 23:49:01,%RH,67,637
27/02/20 23:59:01,%RH,69,372
28/02/20 00:09:01,%RH,70,521
28/02/20 00:19:01,%RH,70,521
28/02/20 00:29:01,%RH,71,094
28/02/20 00:39:01,%RH,69,947
28/02/20 00:49:01,%RH,69,372
28/02/20 00:59:01,%RH,69,947
28/02/20 01:09:01,%RH,68,795
28/02/20 01:19:01,%RH,69,947
28/02/20 01:29:01,%RH,67,637
28/02/20 01:39:01,%RH,68,217
28/02/20 01:49:01,%RH,68,217
28/02/20 01:59:01,%RH,71,094
28/02/20 02:09:01,%RH,70,521
28/02/20 02:19:01,%RH,69,947
