1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000006949B841
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:57:01 CET 2020
Mission Sample Count:  1020
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:57:01 CET 2020
Total Mission Samples:  1020
Total Device Samples:  13792
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/02/20 07:17:01,%RH,41,725
27/02/20 07:27:01,%RH,41,725
27/02/20 07:37:01,%RH,41,088
27/02/20 07:47:01,%RH,41,725
27/02/20 07:57:01,%RH,41,725
27/02/20 08:07:01,%RH,41,088
27/02/20 08:17:01,%RH,41,088
27/02/20 08:27:01,%RH,44,241
27/02/20 08:37:01,%RH,50,908
27/02/20 08:47:01,%RH,55,526
27/02/20 08:57:01,%RH,55,526
27/02/20 09:07:01,%RH,55,526
27/02/20 09:17:01,%RH,57,762
27/02/20 09:27:01,%RH,52,663
27/02/20 09:37:01,%RH,60,489
27/02/20 09:47:01,%RH,53,817
27/02/20 09:57:01,%RH,61,559
27/02/20 10:07:01,%RH,53,242
27/02/20 10:17:01,%RH,56,09
27/02/20 10:27:01,%RH,54,39
27/02/20 10:37:01,%RH,57,208
27/02/20 10:47:01,%RH,54,96
27/02/20 10:57:01,%RH,59,408
27/02/20 11:07:01,%RH,54,96
27/02/20 11:17:01,%RH,59,408
27/02/20 11:27:01,%RH,53,817
27/02/20 11:37:01,%RH,57,762
27/02/20 11:47:01,%RH,57,208
27/02/20 11:57:01,%RH,54,39
27/02/20 12:07:01,%RH,57,208
27/02/20 12:17:01,%RH,51,496
27/02/20 12:27:01,%RH,49,126
27/02/20 12:37:01,%RH,47,923
27/02/20 12:47:01,%RH,46,708
27/02/20 12:57:01,%RH,44,862
27/02/20 13:07:01,%RH,46,708
27/02/20 13:17:01,%RH,46,096
27/02/20 13:27:01,%RH,44,241
27/02/20 13:37:01,%RH,42,989
27/02/20 13:47:01,%RH,46,096
27/02/20 13:57:01,%RH,45,48
27/02/20 14:07:01,%RH,43,616
27/02/20 14:17:01,%RH,42,358
27/02/20 14:27:01,%RH,41,088
27/02/20 14:37:01,%RH,44,862
27/02/20 14:47:01,%RH,46,096
27/02/20 14:57:01,%RH,44,241
27/02/20 15:07:01,%RH,42,989
27/02/20 15:17:01,%RH,42,358
27/02/20 15:27:01,%RH,42,358
27/02/20 15:37:01,%RH,47,317
27/02/20 15:47:01,%RH,44,241
27/02/20 15:57:01,%RH,42,989
27/02/20 16:07:01,%RH,42,358
27/02/20 16:17:01,%RH,41,088
27/02/20 16:27:01,%RH,40,449
27/02/20 16:37:01,%RH,40,449
27/02/20 16:47:01,%RH,44,241
27/02/20 16:57:01,%RH,44,862
27/02/20 17:07:01,%RH,42,989
27/02/20 17:17:01,%RH,41,725
27/02/20 17:27:01,%RH,40,449
27/02/20 17:37:01,%RH,39,806
27/02/20 17:47:01,%RH,40,449
27/02/20 17:57:01,%RH,44,862
27/02/20 18:07:01,%RH,44,241
27/02/20 18:17:01,%RH,41,725
27/02/20 18:27:01,%RH,40,449
27/02/20 18:37:01,%RH,41,725
27/02/20 18:47:01,%RH,44,241
27/02/20 18:57:01,%RH,42,358
27/02/20 19:07:01,%RH,41,725
27/02/20 19:17:01,%RH,40,449
27/02/20 19:27:01,%RH,44,862
27/02/20 19:37:01,%RH,43,616
27/02/20 19:47:01,%RH,42,358
27/02/20 19:57:01,%RH,41,088
27/02/20 20:07:01,%RH,45,48
27/02/20 20:17:01,%RH,44,241
