1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000004476C141
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 13:00:01 CET 2020
Mission Sample Count:  1019
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 13:00:01 CET 2020
Total Mission Samples:  1019
Total Device Samples:  83988
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/02/20 01:20:01,C,27,094
28/02/20 01:30:01,C,27,593
28/02/20 01:40:01,C,28,093
28/02/20 01:50:01,C,28,093
28/02/20 02:00:01,C,27,593
28/02/20 02:10:01,C,28,093
28/02/20 02:20:01,C,28,093
28/02/20 02:30:01,C,28,093
28/02/20 02:40:01,C,27,593
28/02/20 02:50:01,C,27,593
28/02/20 03:00:01,C,27,593
28/02/20 03:10:01,C,27,593
28/02/20 03:20:01,C,27,593
28/02/20 03:30:01,C,27,593
28/02/20 03:40:01,C,27,593
28/02/20 03:50:01,C,28,093
28/02/20 04:00:01,C,28,093
28/02/20 04:10:01,C,27,593
28/02/20 04:20:01,C,26,094
28/02/20 04:30:01,C,24,094
28/02/20 04:40:01,C,22,593
28/02/20 04:50:01,C,22,593
28/02/20 05:00:01,C,23,093
28/02/20 05:10:01,C,23,093
28/02/20 05:20:01,C,23,093
28/02/20 05:30:01,C,23,093
28/02/20 05:40:01,C,23,093
28/02/20 05:50:01,C,23,093
28/02/20 06:00:01,C,22,593
28/02/20 06:10:01,C,22,593
28/02/20 06:20:01,C,22,593
28/02/20 06:30:01,C,23,093
28/02/20 06:40:01,C,22,593
28/02/20 06:50:01,C,22,593
28/02/20 07:00:01,C,22,593
28/02/20 07:10:01,C,22,593
28/02/20 07:20:01,C,22,593
28/02/20 07:30:01,C,23,093
28/02/20 07:40:01,C,22,593
28/02/20 07:50:01,C,22,593
28/02/20 08:00:01,C,23,093
28/02/20 08:10:01,C,22,593
28/02/20 08:20:01,C,22,593
28/02/20 08:30:01,C,22,593
28/02/20 08:40:01,C,22,593
28/02/20 08:50:01,C,22,593
28/02/20 09:00:01,C,22,593
28/02/20 09:10:01,C,22,593
28/02/20 09:20:01,C,22,593
28/02/20 09:30:01,C,22,593
28/02/20 09:40:01,C,22,593
28/02/20 09:50:01,C,22,593
28/02/20 10:00:01,C,22,593
28/02/20 10:10:01,C,22,593
28/02/20 10:20:01,C,22,593
28/02/20 10:30:01,C,22,593
28/02/20 10:40:01,C,22,593
28/02/20 10:50:01,C,22,593
28/02/20 11:00:01,C,22,593
28/02/20 11:10:01,C,22,593
28/02/20 11:20:01,C,22,593
28/02/20 11:30:01,C,22,593
28/02/20 11:40:01,C,23,093
28/02/20 11:50:01,C,22,593
28/02/20 12:00:01,C,22,593
28/02/20 12:10:01,C,23,093
28/02/20 12:20:01,C,23,593
28/02/20 12:30:01,C,24,594
28/02/20 12:40:01,C,25,094
28/02/20 12:50:01,C,26,094
28/02/20 13:00:01,C,26,594
28/02/20 13:10:01,C,26,594
28/02/20 13:20:01,C,26,594
28/02/20 13:30:01,C,27,094
28/02/20 13:40:01,C,27,094
28/02/20 13:50:01,C,27,593
28/02/20 14:00:01,C,27,094
28/02/20 14:10:01,C,27,094
28/02/20 14:20:01,C,27,094
28/02/20 14:30:01,C,27,094
28/02/20 14:40:01,C,27,593
28/02/20 14:50:01,C,27,593
28/02/20 15:00:01,C,27,593
28/02/20 15:10:01,C,27,593
28/02/20 15:20:01,C,27,593
28/02/20 15:30:01,C,27,593
28/02/20 15:40:01,C,27,593
28/02/20 15:50:01,C,27,593
28/02/20 16:00:01,C,27,593
28/02/20 16:10:01,C,27,593
28/02/20 16:20:01,C,27,593
28/02/20 16:30:01,C,27,593
28/02/20 16:40:01,C,27,593
28/02/20 16:50:01,C,27,593
28/02/20 17:00:01,C,27,094
28/02/20 17:10:01,C,27,593
28/02/20 17:20:01,C,27,593
28/02/20 17:30:01,C,27,593
28/02/20 17:40:01,C,27,593
28/02/20 17:50:01,C,27,593
28/02/20 18:00:01,C,27,593
28/02/20 18:10:01,C,28,093
28/02/20 18:20:01,C,27,593
